name,latitude,longitude,inf_type,population
Kyiv,50.4500336,30.5241361,City/Town,2962180
Kharkiv,49.9923181,36.2310146,City/Town,1433886
Odessa,46.4843023,30.7322878,City/Town,1015826
Dnipro,48.4680221,35.0417711,City/Town,980948
Donetsk,48.0158753,37.8013407,City/Town,905364
Zaporizhzhia,47.8507859,35.1182867,City/Town,722713
Lviv,49.841952,24.0315921,City/Town,721510
Kryvyi Rih,47.9102734,33.3917703,City/Town,612750
Mykolaiv,46.9758615,31.9939666,City/Town,476101
Sevastopol,44.6054434,33.5220842,City/Town,464349
Mariupol,47.0957648,37.5499621,City/Town,431859
Luhansk,48.5717084,39.2973153,City/Town,399559
Vinnytsia,49.2320162,28.467975,City/Town,370601
Makiivka,48.0448144,37.9635093,City/Town,340337
Simferopol,44.947523700000005,34.10757757802299,City/Town,336212
Chernihiv,51.494099,31.294332,City/Town,285234
Kherson,46.65086815,32.6023027991877,City/Town,283649
Poltava,49.60250085,34.54449222533195,City/Town,283402
Khmelnytskyi,49.4196404,26.9793793,City/Town,274582
Cherkasy,49.4447888,32.0587805,City/Town,272651
Chernivtsi,48.2864702,25.9376532,City/Town,265471
Zhytomyr,50.2598298,28.6692345,City/Town,263507
Sumy,50.9070007,34.798386,City/Town,259600
Rivne,51.2074112,26.5208033,City/Town,245289
Horlivka,48.3066712,38.06547939545784,City/Town,241106
Ivano-Frankivsk,48.9225224,24.7103188,City/Town,237855
Kamianske,48.5167748,34.6068797,City/Town,229794
Ternopil,49.5557716,25.591886,City/Town,223938
Kropyvnytskyi,48.5105805,32.2656283,City/Town,222695
Kremenchuk,49.09285285,33.43081884909263,City/Town,217710
Lutsk,50.7450733,25.320078,City/Town,217197
Bila Tserkva,49.8038191,30.1116924,City/Town,208737
Kerch,45.3534002,36.4538645,City/Town,151996
Melitopol,46.8400009,35.35786473485406,City/Town,150768
Kramatorsk,48.7389415,37.5843812,City/Town,150084
Uzhhorod,48.6223732,22.3022569,City/Town,115542
Brovary,50.5111168,30.7900482,City/Town,109473
Yevpatoria,45.1996929,33.36912905819992,City/Town,108149
Berdiansk,46.755678,36.7887623,City/Town,107928
Nikopol,47.5692061,34.3917272,City/Town,107464
Sloviansk,48.8522691,37.6058241,City/Town,106972
