name,latitude,longitude,inf_type
Simferopol,44.9472063,34.1004577,City/Town
Aeroflotskyi,45.0210501,34.0015874,City/Town
Hresivskyi,45.0077631,34.0290536,City/Town
Bitumne,45.0194876,34.0445968,City/Town
Komsomolske,45.021625,34.0190764,City/Town
Ahrarne,45.0144464,34.0555476,City/Town
Alushta,44.6753386,34.4070688,City/Town
Partenit,44.5810487,34.3405625,City/Town
Izobilne,44.7096865,34.3494971,City/Town
Verkhnia Kutuzovka,44.7227729,34.3690926,City/Town
Nyzhnia Kutuzovka,44.7076911,34.3808642,City/Town
Rozovyi,44.696318,34.3162807,City/Town
Luchyste,44.7355318,34.4020905,City/Town
Lavanda,44.7463759,34.3699509,City/Town
Semydviria,44.7174445,34.4665419,City/Town
Malyi Maiak,44.6131127,34.3606898,City/Town
Bondarenkove,44.6089051,34.3736843,City/Town
Vynohradnyi,44.6406814,34.3678266,City/Town
Zaprudne,44.5987734,34.3245045,City/Town
Kyparysne,44.6009154,34.3506443,City/Town
Lavrove,44.5744706,34.3219526,City/Town
Lazurne,44.6343537,34.389012,City/Town
Nyzhnie Zaprudne,44.5877667,34.3185723,City/Town
Pushkine,44.5946709,34.3450211,City/Town
Utos,44.5972092,34.3702731,City/Town
Chaika,44.6166609,34.3779466,City/Town
Malorichenske,44.7581433,34.5562109,City/Town
Heneralske,44.8001408,34.4829995,City/Town
Rybache,44.7716464,34.595896,City/Town
Soniachnohirske,44.7493917,34.5396796,City/Town
Pryvitne,44.8224082,34.6780544,City/Town
Zelenohiria,44.8708605,34.7196665,City/Town
Dzhankoi,45.7131668,34.3941773,City/Town
Yevpatoriia,45.2033497,33.3503714,City/Town
Zaozerne,45.1557069,33.2740763,City/Town
Myrnyi,45.3065807,33.0346511,City/Town
Novoozerne,45.3874526,33.1346868,City/Town
Kerch,45.3208954,36.4451514,City/Town
Krasnoperekopsk,45.9580695,33.8009867,City/Town
Saky,45.1268072,33.5480867,City/Town
Armiansk,46.1074771,33.6947155,City/Town
Suvorove,46.0878929,33.6871441,City/Town
Voloshyne,46.1127913,33.6435721,City/Town
Perekop,46.1602783,33.6901505,City/Town
Feodosiia,45.0333375,35.3629098,City/Town
Kurortne,44.912023,35.183794,City/Town
Ordzhonikidze,44.993663,35.3534692,City/Town
Koktebel,44.9604771,35.2395074,City/Town
Nanikove,45.0002524,35.2209154,City/Town
Prymorskyi,45.1214431,35.4859821,City/Town
Shchebetovka,44.9381325,35.163705,City/Town
Krasnokamianka,44.9246084,35.0735606,City/Town
Berehove,45.0983103,35.4370199,City/Town
Stepove,45.0941794,35.380697,City/Town
Nasypne,45.0482399,35.2913867,City/Town
Blyzhnie,45.0562244,35.3307344,City/Town
Vynohradne,45.0287553,35.3233044,City/Town
Pidhirne,45.0148607,35.2805263,City/Town
Pionerske,45.0267857,35.3423687,City/Town
Soniachne,45.0468298,35.3437056,City/Town
Yuzhne,44.9995668,35.2862537,City/Town
Sudak,44.8480888,34.9792074,City/Town
Novyi Svit,44.82814,34.9118046,City/Town
Vesele,44.8562484,34.8795316,City/Town
Hrushivka,45.0176567,34.9730147,City/Town
Perevalivka,44.9766165,34.9828693,City/Town
Kholodivka,45.050547,34.9927455,City/Town
Dachne,44.8856983,34.9843704,City/Town
Lisne,44.9422553,34.9521496,City/Town
Mizhrichchia,44.8752238,34.8495152,City/Town
Voron,44.8880574,34.8170581,City/Town
Morske,44.8301641,34.803715,City/Town
Hromivka,44.8764927,34.7911813,City/Town
Soniachna Dolyna,44.8733225,35.1002754,City/Town
Bahativka,44.8699864,35.060565,City/Town
Myndalne,44.8574381,35.0464406,City/Town
Pryberezhne,44.8560141,35.1317076,City/Town
Yalta,44.5100164,34.1625282,City/Town
Berehove,44.4063253,33.8875219,City/Town
Nikita,44.5109438,34.234158,City/Town
Vynohradne,44.4781399,34.1229074,City/Town
Voskhod,44.5131017,34.2168884,City/Town
Haspra,44.4365074,34.118214,City/Town
Holuba Zatoka,44.4153767,33.9841409,City/Town
Hurzuf,44.5579309,34.3113819,City/Town
Danylivka,44.5204741,34.2585171,City/Town
Liniine,44.5303253,34.2580083,City/Town
Partyzanske,44.5542769,34.2508151,City/Town
Katsiveli,44.3961007,33.9732575,City/Town
Koreiz,44.4303522,34.0768025,City/Town
Krasnokamianka,44.5638037,34.2883395,City/Town
Kurpaty,44.4431931,34.1316255,City/Town
Livadiia,44.4758724,34.1483729,City/Town
Vysokohirne,44.4666839,34.0905712,City/Town
Hirne,44.4701315,34.1345052,City/Town
Kuibysheve,44.4926019,34.1142495,City/Town
Okhotnyche,44.471382,34.0684619,City/Town
Masandra,44.515847,34.1838828,City/Town
Oreanda,44.4609555,34.1416952,City/Town
Vidradne,44.5056821,34.2197202,City/Town
Parkove,44.4076493,33.9086583,City/Town
Ponyzivka,44.3939956,33.9504947,City/Town
Sanatorne,44.3993429,33.816983,City/Town
Simeiz,44.4076319,34.0071284,City/Town
Opolzneve,44.4063497,33.9392547,City/Town
Sovietske,44.5345428,34.1888931,City/Town
Foros,44.3917557,33.7768909,City/Town
Olyva,44.4100058,33.8655071,City/Town
Alupka,44.4208049,34.0461861,City/Town
Bakhchysarai,44.7481787,33.8566262,City/Town
Nauchnyi,44.7252527,34.0122809,City/Town
Kuibysheve,44.6333518,33.8663425,City/Town
Velyke Sadove,44.6394097,33.8281677,City/Town
Vysoke,44.6326301,33.9598617,City/Town
Male Sadove,44.6394827,33.8416477,City/Town
Novoulianivka,44.6069879,33.8652984,City/Town
Tankove,44.6587055,33.8066034,City/Town
Poshtove,44.8362684,33.9586499,City/Town
Zavitne,44.836612,33.9107751,City/Town
Zubakine,44.8646777,33.8910077,City/Town
Kazanky,44.869617,33.9323891,City/Town
Malynivka,44.8414677,34.0073976,City/Town
Novovasylivka,44.846712,33.9187932,City/Town
Novopavlivka,44.8179969,33.9754288,City/Town
Pryiatne Svidannia,44.851203,34.0094897,City/Town
Rostuche,44.858239,33.8875261,City/Town
Samokhvalove,44.8253035,33.9221499,City/Town
Sevastianivka,44.8160926,33.9332726,City/Town
Stalne,44.8724856,33.8737643,City/Town
Topoli,44.8415025,33.9959716,City/Town
Aromatne,44.7996332,33.8667845,City/Town
Viktorivka,44.7852878,33.7974378,City/Town
Malovydne,44.7963764,33.8090624,City/Town
Riepine,44.825502,33.8387242,City/Town
Rozove,44.835479,33.8180906,City/Town
Verkhorichchia,44.6982822,33.9872533,City/Town
Bashtanivka,44.6905942,33.9009142,City/Town
Kudryne,44.7028937,33.9456141,City/Town
Mashyne,44.6982054,33.9173946,City/Town
Peredushchelne,44.7064231,33.8705229,City/Town
Synapne,44.6721507,34.0101486,City/Town
Viline,44.8481327,33.6827489,City/Town
Rozsadne,44.84065,33.6330537,City/Town
Holubynka,44.5952655,33.9138102,City/Town
Aromat,44.5805815,33.937719,City/Town
Bahata Ushchelyna,44.5567621,33.8709211,City/Town
Nyzhnia Holubynka,44.6050338,33.8983467,City/Town
Novopillia,44.5737016,33.9105382,City/Town
Poliana,44.5518156,33.901148,City/Town
Putylivka,44.56944,33.8869864,City/Town
Sokolyne,44.5517732,33.9585857,City/Town
Soniachnosillia,44.6148485,33.9447524,City/Town
Dolynne,44.7542373,33.7777961,City/Town
Novenke,44.7348799,33.8005082,City/Town
Furmanovka,44.7595997,33.744075,City/Town
Zaliznychne,44.7166423,33.8018266,City/Town
Bilokamiane,44.6806019,33.8399425,City/Town
Dachne,44.7158968,33.8233654,City/Town
