name,latitude,longitude,inf_type,population
Abazivka,49.2404135,35.3180052,City/Town,
Abramivka,49.3222182,34.9557688,City/Town,
Abramivska Dolyna,48.5143387,28.1088294,City/Town,
Abramok,50.6389501,27.9093031,City/Town,
Abranka,48.7335532,23.0717872,City/Town,
Abrykosivka,48.7222707,26.7102645,City/Town,
Abrykosove,46.1155899,30.2920665,City/Town,
Adalymivka,48.4609215,34.1945328,City/Town,
Adamchuky,51.4149416,23.7117953,City/Town,
Adamiv,50.0801552,27.4257477,City/Town,
Adamivka,48.3291077,34.2081082,City/Town,
Adamove,50.8314595,27.4887059,City/Town,
Adampil,49.6712632,27.6587619,City/Town,
Adrianopil,48.3633702,38.7224936,City/Town,
Adzhamka,48.54643,32.5276207,City/Town,
Aeroclub Swallow,48.81223,26.022577,small_airport,
Aerodrom Belz,50.3771921,23.9648804,small_airport,
Aeroflotskyi,45.0210501,34.0015874,City/Town,
Afanasiivka,47.0218355,32.8147214,City/Town,
Afrykanivka,48.8857395,36.8086659,City/Town,
Ahafiivka,47.7813491,30.3750835,City/Town,
Ahaimany,46.6672689,34.2495771,City/Town,
Ahativka,49.9870669,28.605284,City/Town,
Aheivka,47.9143731,30.2925452,City/Town,
Ahrafenivka,48.0927241,35.5001727,City/Town,
Ahrarne,45.0144464,34.0555476,City/Town,
Ahrobaza,47.0970108,37.4442901,City/Town,
Ahronomichne,47.8585548,38.1942945,City/Town,
Ahronomiia,47.7684128,31.3084554,City/Town,
Aidar-Mykolaivka,48.9627154,38.9702022,City/Town,
Aikavan,45.015911,34.1511808,City/Town,
Aivazovske,45.1089334,35.0760363,City/Town,
Aivove,44.736634,33.6456747,City/Town,
Akmechetski Stavky,47.6560332,31.2096836,City/Town,
Akreshory,48.3608872,24.8202103,City/Town,
Akropolis,44.9990721,34.168735,City/Town,
Aksiutivka,49.8056276,36.2020356,City/Town,
Aktove,47.7064002,31.4607072,City/Town,
Akulynivka,47.8506741,29.5362764,City/Town,
