title,link,description
France: Melenchon forms anti-Macron alliance with the Greens,https://www.dw.com/en/france-melenchon-forms-anti-macron-alliance-with-the-greens/a-61665348?maca=en-rss-en-all-1573-rdf,"France's far-left LFI and its Green Party EELV have joined forces ahead of parliamentary elections in June, aiming to prevent President Emmanuel Macron ""from pursuing his unjust and brutal policies."""
Is Putin's threat of 'lightning-fast' response escalation or empty rhetoric?,https://www.dw.com/en/is-putin-s-threat-of-lightning-fast-response-escalation-or-empty-rhetoric/a-61665108?maca=en-rss-en-all-1573-rdf,"Putin has threatened to launch a ""lightning-fast"" response to any nation that intervenes in the Ukraine war. How seriously should this warning be taken?"
Ukraine: UEFA bans Russian teams from Champions League — live updates,https://www.dw.com/en/ukraine-uefa-bans-russian-teams-from-champions-league-live-updates/a-61654618?maca=en-rss-en-all-1573-rdf,"Russian teams would be banned from competing in the 2022-2023 season of the Champions League, UEFA officials said. Israel has asked Russia to apologize over Sergey Lavrov's Hitler comments. Follow DW for the latest."
US Marshals offer reward over missing inmate and officer,https://www.dw.com/en/us-marshals-offer-reward-over-missing-inmate-and-officer/a-61664838?maca=en-rss-en-all-1573-rdf,Casey White and Vicky White vanished after leaving an Alabama jail on the pretext of a mental health appointment. The vehicle they had used was later found abandoned near a shopping center.
German opposition leader Friedrich Merz plans controversial trip to Ukraine,https://www.dw.com/en/german-opposition-leader-friedrich-merz-plans-controversial-trip-to-ukraine/a-61664778?maca=en-rss-en-all-1573-rdf,The German opposition leader is set to head to Ukraine's capital — a trip Chancellor Olaf Scholz so far has no plans to make. Scholz's Social Democrats see Merz's move as a PR stunt ahead of important state elections.
Spain says PM Sanchez' phone hacked with Pegasus,https://www.dw.com/en/spain-says-pm-sanchez-phone-hacked-with-pegasus/a-61663794?maca=en-rss-en-all-1573-rdf,"Spanish authorities say that ""a certain amount of data"" was taken from the phones of the country's prime minister and defense minister through the Pegasus spying tool."
Germans split over heavy weapons deliveries to Ukraine,https://www.dw.com/en/germans-split-over-heavy-weapons-deliveries-to-ukraine/a-61664515?maca=en-rss-en-all-1573-rdf,The German public is split on the issue of military support for Ukraine: Many fear the delivery of tanks and training of Ukrainian soldiers in Germany may drag the country into the war.
Ethiopian police fire tear gas at protesters during Eid celebrations,https://www.dw.com/en/ethiopian-police-fire-tear-gas-at-protesters-during-eid-celebrations/a-61664016?maca=en-rss-en-all-1573-rdf,Clashes broke out at Eid celebrations in Addis Ababa after police fired tear gas into the crowd. Religious tensions have been high since a recent attack on a Muslim funeral.
"Modi, Scholz call for peace in Ukraine following talks in Berlin",https://www.dw.com/en/modi-scholz-call-for-peace-in-ukraine-following-talks-in-berlin/a-61657311?maca=en-rss-en-all-1573-rdf,"India's Narendra Modi and Germany's Olaf Scholz did not take reporters' questions following their talks in Berlin, reportedly at the insistence of the Indian prime minister."
DW honors Ukrainian journalists Maloletka and Chernov for Mariupol reporting,https://www.dw.com/en/dw-honors-ukrainian-journalists-maloletka-and-chernov-for-mariupol-reporting/a-61647140?maca=en-rss-en-all-1573-rdf,"Risking their lives, Evgeniy Maloletka and Mstyslav Chernov documented Russia's siege of the Ukrainian port city of Mariupol. The journalists are the 2022 recipients of DW's Freedom of Speech Award."
Is India facing a post-pandemic employment crisis?,https://www.dw.com/en/is-india-facing-a-post-pandemic-employment-crisis/a-61662629?maca=en-rss-en-all-1573-rdf,"India's job market is tightening, and skilled workers are finding it harder to enter the workforce. Government job drives and the informal economy have been unable to make up the difference."
EU hits Apple with antitrust charge over digital wallet,https://www.dw.com/en/eu-hits-apple-with-antitrust-charge-over-digital-wallet/a-61661965?maca=en-rss-en-all-1573-rdf,"The European Commission said that Apple apparently ""abused its dominant position"" in developing its Apple Pay system. The US company could face billions in fines."
Think 8 hours of sleep is best? Think again!,https://www.dw.com/en/think-8-hours-of-sleep-is-best-think-again/a-61661946?maca=en-rss-en-all-1573-rdf,Eight hours of sleep has long been the golden rule for a good night's rest. But researchers from China and the UK now say less is more ― for older people.
What are the COVID entry rules for travelers to European countries?,https://www.dw.com/en/what-are-the-covid-entry-rules-for-travelers-to-european-countries/a-58017284?maca=en-rss-en-all-1573-rdf,Most European countries have lifted travel restrictions — despite ongoing high infection numbers. DW Travel has compiled this overview of EU rules.
Record-breaking heat waves show we need to adapt to the climate crisis now,https://www.dw.com/en/record-breaking-heat-waves-show-we-need-to-adapt-to-the-climate-crisis-now/a-61661802?maca=en-rss-en-all-1573-rdf,"India is just the latest country to face life-threatening temperatures before summer has even started. As extreme heat becomes more frequent around the world, how can affected areas adapt to remain liveable?"
DW documentary series 'Guardians of Truth' looks at press freedom,https://www.dw.com/en/dw-documentary-series-guardians-of-truth-looks-at-press-freedom/a-61657700?maca=en-rss-en-all-1573-rdf,"In this new DW documentary series, exiled Turkish journalist Can Dündar meets Mexican journalist Anabel Hernandez. Both have paid a high price for their fight for truth."
Could North Korea 'pre-emptively' use nuclear weapons?,https://www.dw.com/en/could-north-korea-pre-emptively-use-nuclear-weapons/a-61661592?maca=en-rss-en-all-1573-rdf,Should the world be worried about comments made by North Korea's leader Kim Jong Un signaling an apparent change in nuclear doctrine from the secretive dictatorship?
"Germany: Amazon workers strike over pay, data protection",https://www.dw.com/en/germany-amazon-workers-strike-over-pay-data-protection/a-61660197?maca=en-rss-en-all-1573-rdf,"One of Germany's biggest trade unions has called strikes at seven branches of online retailer Amazon. Germany is Amazon's second-biggest market behind the United States, where the company is headquartered."
