titles,descriptions,links,pubDates
Ukraine conflict: Russian soldiers seen shooting dead unarmed civilians ,"The incident, captured on video seen by the BBC, is being investigated as a suspected war crime. ",https://www.bbc.co.uk/news/world-europe-61425025?at_medium=RSS&at_campaign=KARANGA ,"Thu, 12 May 2022 13:11:57 GMT "
North Korea announces first death from Covid-19 ,"A day after confirming its first cases, state media reports thousands are suffering fever symptoms. ",https://www.bbc.co.uk/news/world-asia-61432084?at_medium=RSS&at_campaign=KARANGA ,"Fri, 13 May 2022 01:48:54 GMT "
Spain plans menstrual leave in new law for those with severe pain ,Spain could become the first European country with menstrual pain leave under a proposed law. ,https://www.bbc.co.uk/news/world-europe-61429022?at_medium=RSS&at_campaign=KARANGA ,"Thu, 12 May 2022 17:23:06 GMT "
Eurovision 2022: Ireland's Brooke fails to qualify for the final ,"Ireland go home after Thursday's semi-final, despite a warm reception for Derry girl Brooke Scullion. ",https://www.bbc.co.uk/news/entertainment-arts-61428830?at_medium=RSS&at_campaign=KARANGA ,"Thu, 12 May 2022 21:48:37 GMT "
Couple in India sue son for not giving them a grandchild ,The Indian parents say they used up their savings raising their son and paying for his wedding. ,https://www.bbc.co.uk/news/world-asia-india-61424869?at_medium=RSS&at_campaign=KARANGA ,"Fri, 13 May 2022 00:47:16 GMT "
Rwandan genocide fugitive Protais Mpiranya confirmed dead ,Protais Mpiranya led the presidential guard that killed the then-PM and 10 Belgian peacekeepers. ,https://www.bbc.co.uk/news/world-africa-61429761?at_medium=RSS&at_campaign=KARANGA ,"Thu, 12 May 2022 20:02:18 GMT "
Finland Nato: Russia threatens to retaliate over membership move ,"Finland's leaders say they want the country to apply for membership of the alliance ""without delay"". ",https://www.bbc.co.uk/news/world-europe-61420185?at_medium=RSS&at_campaign=KARANGA ,"Fri, 13 May 2022 03:51:59 GMT "
Shireen Abu Aqla: Palestinians to refer journalist's killing to ICC ,Shireen Abu Aqla was shot dead while covering a raid by Israeli forces in the occupied West Bank. ,https://www.bbc.co.uk/news/world-middle-east-61419699?at_medium=RSS&at_campaign=KARANGA ,"Thu, 12 May 2022 16:31:59 GMT "
Coastal fire: California mansions burn as wildfires spread ,"Across North America, wildfire crews are gearing up for a particularly difficult season. ",https://www.bbc.co.uk/news/world-us-canada-61430573?at_medium=RSS&at_campaign=KARANGA ,"Fri, 13 May 2022 00:10:58 GMT "
Platinum Jubilee: Lemon and amaretti trifle to be official pudding ,Jemma Melvin's creation is inspired by a lemon posset served at the Queen's wedding to Prince Philip. ,https://www.bbc.co.uk/news/uk-61428970?at_medium=RSS&at_campaign=KARANGA ,"Thu, 12 May 2022 20:32:28 GMT "
