titles,descriptions,links,pubDates
"Russians attack Zaporizhzhia Oblast, one civil infrastructure facility on fire, civilian injured ","On the evening of 3 January, the Russian invaders struck the outskirts of Zaporizhzhia with missiles. One person was injured as a result of the attack, and a fire broke out at a civilian infrastructure facility. ",https://www.pravda.com.ua/eng/news/2023/01/3/7383483/ ,"Tue, 03 Jan 2023 23:44:00 +0200 "
Explosions heard in Rostov and Kursk ,"On 3 January, residents and eyewitnesses reported the sounds of explosions in the Russian cities of Rostov-on-Don and Kursk. Source: Radio Liberty Russia, videos from local Russian Telegram channels Details: In particular, residents are publishing photos and videos showing explosions in Russian cities. ",https://www.pravda.com.ua/eng/news/2023/01/3/7383481/ ,"Tue, 03 Jan 2023 23:14:00 +0200 "
Zelenskyy on destruction of Alta&#239;r in Druzhkivka: This is another confession of the terrorist state ,"President Volodymyr Zelenskyy reacted to the destruction of the Alta&iuml;r ice arena in Druzhkivka, Donetsk Oblast by the Russian occupiers; the arena was used for the collection and distribution of humanitarian aid. ",https://www.pravda.com.ua/eng/news/2023/01/3/7383479/ ,"Tue, 03 Jan 2023 22:48:00 +0200 "
Zelenskyy: Russia's attempted offensive must become its final failure ,"Volodymyr Zelenskyy, the President of Ukraine, believes that the Russian government will deploy all Russian forces in order to try to change the outcome of the war and postpone their defeat. Source: Zelenskyy's video address on 3 January Quote: ""We started this year with what Ukraine needs most right now - on the eve of new mobilisation processes being prepared by the terrorist state. ",https://www.pravda.com.ua/eng/news/2023/01/3/7383478/ ,"Tue, 03 Jan 2023 22:27:00 +0200 "
AEW&C aircraft that helps in targeting arrived in Belarus from Russia ,"An Il-76 A-50U aircraft, designed to track air and surface targets, arrived at the Machulishchy airfield in Belarus from Russia. Source: Belaruski Hajun [an independent Belarusian military monitoring media outlet] Quote: ""At 21:25, an Il-76 A-50U AEW&amp;C [airborne early warning and control - ed. ",https://www.pravda.com.ua/eng/news/2023/01/3/7383477/ ,"Tue, 03 Jan 2023 22:17:00 +0200 "
Ukraine Palace of Arts shares video of Russian rocket strike that damaged building ,"The Ukraine National Palace of Arts, a theatre, concert hall and official event venue, has posted a video filmed by surveillance cameras during a missile strike on the centre of Kyiv on 31 December which damaged the building. ",https://www.pravda.com.ua/eng/news/2023/01/3/7383472/ ,"Tue, 03 Jan 2023 21:19:00 +0200 "
Erdo&#287;an to speak to Putin and Zelenskyy on Wednesday ,"Turkish President Recep Tayyip Erdo&#287;an plans to hold telephone conversations with his Ukrainian and Russian counterparts, Volodymyr Zelenskyy and Vladimir Putin, on Wednesday. This was announced on the NTV channel on Tuesday by Ibrahim Kalin, the advisor to the Turkish president, European Pravda reports. ",https://www.pravda.com.ua/eng/news/2023/01/3/7383471/ ,"Tue, 03 Jan 2023 21:15:08 +0200 "
Russian medics flee from occupied Melitopol ,"Russian medics are following in the wake of the collaborators and fleeing from the occupied city of Melitopol in Zaporizhzhia Oblast. Source: Ivan Fedorov, the mayor of Melitopol, on Telegram Quote: ""The Melitopol city hospital was practically the last hospital in temporarily occupied Zaporizhzhia Oblast that was still providing medical care to civilians, but it has now been almost a month since the occupiers started bringing wounded and sick soldiers there, and there is less and less space for civilians in the hospital. ",https://www.pravda.com.ua/eng/news/2023/01/3/7383468/ ,"Tue, 03 Jan 2023 20:31:41 +0200 "
Russian invader repeats rumours about full mobilisation in Russia in new intercepted call ,"In a phone call that was recently recorded by Defence Intelligence of the Ministry of Defence of Ukraine, a Russian soldier says there are rumours of a full mobilisation in Russia and describes the Russian command instructing troops to ""attack"" with minimal forces. ",https://www.pravda.com.ua/eng/news/2023/01/3/7383467/ ,"Tue, 03 Jan 2023 20:27:04 +0200 "
Zelenskyy thanked Norway's Prime Minister for energy support of Ukraine ,,https://www.eurointegration.com.ua/eng/news/2023/01/3/7153532/ ,"Tue, 03 Jan 2023 19:50:48 +0200 "
