Name,Country,Full_address,Geocoded_adress,Point,Latitude,Longitude,Altitude
Chernivtsi International Airport,ukraine,"Chernivtsi International Airport,ukraine","Міжнародний Аеропорт Чернівці, 4-а Приміська вулиця, Чагор, Чагорська сільська громада, Чернівецький район, Чернівецька область, 60412, Україна","(48.26047165, 25.9785329173081, 0.0)",48.26047165,25.9785329173081,0.0
Dnipropetrovsk International Airport,ukraine,"Dnipropetrovsk International Airport,ukraine","Міжнародний аеропорт «Дніпро», Н-08-01, Шевченківський район, Авіаторське, Дніпровська міська громада, Дніпровський район, Дніпропетровська область, 49070, Україна","(48.3612473, 35.09662173364201, 0.0)",48.3612473,35.09662173364201,0.0
Kharkiv International Airport,ukraine,"Kharkiv International Airport,ukraine",,,,,
Kyiv Airport,ukraine,"Kyiv Airport,ukraine","Міжнародний аеропорт «Бориспіль», Горбатюка вулиця, Бориспіль, Бориспільська міська громада, Бориспільський район, Київська область, 08303, Україна","(50.3401779, 30.891557297991227, 0.0)",50.3401779,30.891557297991227,0.0
Ivano Frankivsk Airport,ukraine,"Ivano Frankivsk Airport,ukraine","Коломийський аеропорт ім. Ігоря Табанюка, Довга вулиця, Коломия, Коломийська міська громада, Коломийський район, Івано-Франківська область, 78200, Україна","(48.5525097, 25.039165718904677, 0.0)",48.5525097,25.039165718904677,0.0
Boryspil,ukraine,"Boryspil,ukraine","Бориспіль, Бориспільська міська громада, Бориспільський район, Київська область, 08300-08307, Україна","(50.3512101, 30.95077, 0.0)",50.3512101,30.95077,0.0
Kherson International Airport,ukraine,"Kherson International Airport,ukraine","Міжнародний аеропорт «Херсон», Миколаївське шосе, Чорнобаївська сільська громада, Херсонський район, Херсонська область, 75024, Україна","(46.67644115, 32.508633855102886, 0.0)",46.67644115,32.508633855102886,0.0
Kryvyi Rih International Airport,ukraine,"Kryvyi Rih International Airport,ukraine","Міжнародний аеропорт «Кривий Ріг», Н-23-01, Лозуватська сільська громада, Криворізький район, Дніпропетровська область, 53030, Україна","(48.0418259, 33.20921721853422, 0.0)",48.0418259,33.20921721853422,0.0
Lviv International Airport,ukraine,"Lviv International Airport,ukraine","Міжнародний аеропорт «Львів» ім. Данила Галицького, 8-й Скнилівський провулок, Скнилівок, Залізничний район, Львівська міська громада, Львівський район, Львівська область, 79071, Україна","(49.81057505, 23.957443729537545, 0.0)",49.81057505,23.957443729537545,0.0
Mykolaiv International Airport,ukraine,"Mykolaiv International Airport,ukraine","Миколаївський міжнародний аеропорт, Степова вулиця, Баловне, Костянтинівська сільська громада, Миколаївський район, Миколаївська область, 56664, Україна","(47.0571669, 31.91963470500483, 0.0)",47.0571669,31.91963470500483,0.0
Odessa International Airport,ukraine,"Odessa International Airport,ukraine","Міжнародний аеропорт ""Одеса"", Маршала Бабаджаняна вулиця, 0-й квартал, Район І-6 ""Ближні Млини"", Малиновський район, Одеса, Одеська міська громада, Одеський район, Одеська область, 65017, Україна","(46.42729675, 30.671640336265803, 0.0)",46.42729675,30.671640336265803,0.0
Zaporizhia International Airport,ukraine,"Zaporizhia International Airport,ukraine","Міжнародний аеропорт ""Запоріжжя"", Військбуд вулиця, Військове містечко, Шевченківський район, Запоріжжя, Запорізька міська громада, Запорізький район, Запорізька область, 69000-69499, Україна","(47.869395850000004, 35.31153502036521, 0.0)",47.869395850000004,35.31153502036521,0.0
Simferopol Airport,ukraine,"Simferopol Airport,ukraine","Международный аэропорт Симферополь, улица Путилинская, Укромновское сельское поселение, Симферопольский район, Республика Крым, 97536, Україна","(45.03825865, 33.983081202732265, 0.0)",45.03825865,33.983081202732265,0.0
Uzhhorod International Airport,ukraine,"Uzhhorod International Airport,ukraine","Міжнародний аеропорт «Ужгород», Олександра Грибоєдова вулиця, БАМ, Ужгород, Ужгородська міська громада, Ужгородський район, Закарпатська область, 88017, Україна","(48.63582435, 22.26068962869202, 0.0)",48.63582435,22.26068962869202,0.0
Vinnytsia Airport,ukraine,"Vinnytsia Airport,ukraine",,,,,
Hostomel,ukraine,"Hostomel,ukraine","Гостомель, Гостомельська селищна громада, Бучанський район, Київська область, 08290, Україна","(50.58826, 30.25909, 0.0)",50.58826,30.25909,0.0
