Name,Name(Ukranian),Oblast,Population,Population(2001),Population_Change,Country,Full_address,Geocoded_adress,Point,Latitude,Longitude,Altitude
Kyiv,Київ,none,2962180,2611327,+13.44%,ukraine,"Київ,ukraine","Київ, Україна","(50.4500336, 30.5241361, 0.0)",50.4500336,30.5241361,0.0
Kharkiv,Харків,Kharkiv,1433886,1470902,−2.52%,ukraine,"Харків,ukraine","Харків, Харківська міська громада, Харківський район, Харківська область, Україна","(49.9923181, 36.2310146, 0.0)",49.9923181,36.2310146,0.0
Odessa,Одеса,Odessa,1015826,1029049,−1.28%,ukraine,"Одеса,ukraine","Одеса, Одеська міська громада, Одеський район, Одеська область, 65082, Україна","(46.4843023, 30.7322878, 0.0)",46.4843023,30.7322878,0.0
Dnipro,Дніпро,Dnipropetrovsk,980948,1080846,−9.24%,ukraine,"Дніпро,ukraine","Дніпро, Дніпровська міська громада, Дніпровський район, Дніпропетровська область, 49000-49489, Україна","(48.4680221, 35.0417711, 0.0)",48.4680221,35.0417711,0.0
Donetsk[a],Донецьк,Donetsk,905364,1016194,−10.91%,ukraine,"Донецьк,ukraine","Донецьк, Ворошиловський район, Донецька міська рада, Донецька область, 83000-83490, Україна","(48.0158753, 37.8013407, 0.0)",48.0158753,37.8013407,0.0
Zaporizhzhia,Запоріжжя,Zaporizhzhia,722713,817882,−11.64%,ukraine,"Запоріжжя,ukraine","Запоріжжя, Запорізька міська громада, Запорізький район, Запорізька область, 69037, Україна","(47.8507859, 35.1182867, 0.0)",47.8507859,35.1182867,0.0
Lviv,Львів,Lviv,721510,732818,−1.54%,ukraine,"Львів,ukraine","Львів, Львівська міська громада, Львівський район, Львівська область, Україна","(49.841952, 24.0315921, 0.0)",49.841952,24.0315921,0.0
Kryvyi Rih,Кривий Ріг,Dnipropetrovsk,612750,709014,−13.58%,ukraine,"Кривий Ріг,ukraine","Кривий Ріг, Криворізька міська громада, Криворізький район, Дніпропетровська область, 50000-50479, Україна","(47.9102734, 33.3917703, 0.0)",47.9102734,33.3917703,0.0
Mykolaiv,Миколаїв,Mykolaiv,476101,514136,−7.40%,ukraine,"Миколаїв,ukraine","Миколаїв, Миколаївська міська громада, Миколаївський район, Миколаївська область, 54000-54490, Україна","(46.9758615, 31.9939666, 0.0)",46.9758615,31.9939666,0.0
Sevastopol[b],Севасто́поль,none,464349,342451,+35.60%,ukraine,"Севасто́поль,ukraine","Севастополь, 299911, Україна","(44.6054434, 33.5220842, 0.0)",44.6054434,33.5220842,0.0
Mariupol,Маріуполь,Donetsk,431859,492176,−12.26%,ukraine,"Маріуполь,ukraine","Маріуполь, Маріупольська міська громада, Маріупольський район, Донецька область, 87500-87590, Україна","(47.0957648, 37.5499621, 0.0)",47.0957648,37.5499621,0.0
Luhansk[c],Луганськ,Luhansk,399559,463097,−13.72%,ukraine,"Луганськ,ukraine","Луганськ, Ленінський район, Луганська область, Україна","(48.5717084, 39.2973153, 0.0)",48.5717084,39.2973153,0.0
Vinnytsia,Вінниця,Vinnytsia,370601,356665,+3.91%,ukraine,"Вінниця,ukraine","Вінниця, Вінницька міська громада, Вінницький район, Вінницька область, 21000-21499, Україна","(49.2320162, 28.467975, 0.0)",49.2320162,28.467975,0.0
Makiivka[a],Макіївка,Donetsk,340337,389589,−12.64%,ukraine,"Макіївка,ukraine","Макіївка, Центрально-Міський район, Макіївська міська рада, Донецька область, 86100-86180, Україна","(48.0448144, 37.9635093, 0.0)",48.0448144,37.9635093,0.0
Simferopol[b],Сімферополь,Crimea,336212,343644,−2.16%,ukraine,"Сімферополь,ukraine","Симферополь, Симферопольский городской совет, Республика Крым, Україна","(44.947523700000005, 34.10757757802299, 0.0)",44.947523700000005,34.10757757802299,0.0
Chernihiv,Чернігів,Chernihiv,285234,304994,−6.48%,ukraine,"Чернігів,ukraine","Чернігів, Чернігівська міська громада, Чернігівський район, Чернігівська область, 14000-14499, Україна","(51.494099, 31.294332, 0.0)",51.494099,31.294332,0.0
Kherson,Херсон,Kherson,283649,328360,−13.62%,ukraine,"Херсон,ukraine","Херсон, Херсонська міська громада, Херсонський район, Херсонська область, 73000-73480, Україна","(46.650868149999994, 32.6023027991877, 0.0)",46.650868149999994,32.6023027991877,0.0
Poltava,Полтава,Poltava,283402,317998,−10.88%,ukraine,"Полтава,ukraine","Полтава, Полтавська міська громада, Полтавський район, Полтавська область, 36000-36499, Україна","(49.60250085, 34.54449222533195, 0.0)",49.60250085,34.54449222533195,0.0
Khmelnytskyi,Хмельницький,Khmelnytskyi,274582,253994,+8.11%,ukraine,"Хмельницький,ukraine","Хмельницький, Хмельницька міська громада, Хмельницький район, Хмельницька область, Україна","(49.4196404, 26.9793793, 0.0)",49.4196404,26.9793793,0.0
Cherkasy,Черкаси,Cherkasy,272651,295414,−7.71%,ukraine,"Черкаси,ukraine","Черкаси, Черкаська міська громада, Черкаський район, Черкаська область, 18000-18499, Україна","(49.4447888, 32.0587805, 0.0)",49.4447888,32.0587805,0.0
Chernivtsi,Чернівці,Chernivtsi,265471,240621,+10.33%,ukraine,"Чернівці,ukraine","Чернівці, Чернівецька міська громада, Чернівецький район, Чернівецька область, 58002, Україна","(48.2864702, 25.9376532, 0.0)",48.2864702,25.9376532,0.0
Zhytomyr,Житомир,Zhytomyr,263507,284236,−7.29%,ukraine,"Житомир,ukraine","Житомир, Житомирська міська громада, Житомирський район, Житомирська область, Україна","(50.2598298, 28.6692345, 0.0)",50.2598298,28.6692345,0.0
Sumy,Суми,Sumy,259600,293141,−11.44%,ukraine,"Суми,ukraine","Суми, Сумська міська громада, Сумський район, Сумська область, 40000-40489, Україна","(50.9070007, 34.798386, 0.0)",50.9070007,34.798386,0.0
Rivne,Рівне,Rivne,245289,248813,−1.42%,ukraine,"Рівне,ukraine","Рівненська область, Україна","(51.2074112, 26.5208033, 0.0)",51.2074112,26.5208033,0.0
Horlivka[a],Горлівка,Donetsk,241106,292250,−17.50%,ukraine,"Горлівка,ukraine","Горлівка, Центрально-Міський район, Горлівська міська рада, Донецька область, 84646, Україна","(48.3066712, 38.06547939545784, 0.0)",48.3066712,38.06547939545784,0.0
Ivano-Frankivsk,Івано-Франківськ,Ivano-Frankivsk,237855,218359,+8.93%,ukraine,"Івано-Франківськ,ukraine","Івано-Франківськ, Івано-Франківська міська громада, Івано-Франківський район, Івано-Франківська область, 76000-76490, Україна","(48.9225224, 24.7103188, 0.0)",48.9225224,24.7103188,0.0
Kamianske,Кам'янське,Dnipropetrovsk,229794,255841,−10.18%,ukraine,"Кам'янське,ukraine","Кам’янське, Кам'янська міська громада, Кам'янський район, Дніпропетровська область, 51900-51989, Україна","(48.5167748, 34.6068797, 0.0)",48.5167748,34.6068797,0.0
Ternopil,Тернопіль,Ternopil,223938,227755,−1.68%,ukraine,"Тернопіль,ukraine","Тернопіль, Тернопільська міська громада, Тернопільський район, Тернопільська область, 46000-46499, Україна","(49.5557716, 25.591886, 0.0)",49.5557716,25.591886,0.0
Kropyvnytskyi,Кропивницький,Kirovohrad,222695,254103,−12.36%,ukraine,"Кропивницький,ukraine","Кропивницький, Кропивницька міська громада, Кропивницький район, Кіровоградська область, 25000-25490, Україна","(48.5105805, 32.2656283, 0.0)",48.5105805,32.2656283,0.0
Kremenchuk,Кременчук,Poltava,217710,234073,−6.99%,ukraine,"Кременчук,ukraine","Кременчук, Кременчуцький район, Полтавська область, 39600-39689, Україна","(49.09285285, 33.43081884909263, 0.0)",49.09285285,33.43081884909263,0.0
Lutsk,Луцьк,Volyn,217197,208816,+4.01%,ukraine,"Луцьк,ukraine","Луцьк, Луцька міська громада, Луцький район, Волинська область, Україна","(50.7450733, 25.320078, 0.0)",50.7450733,25.320078,0.0
Bila Tserkva,Біла Церква,Kyiv,208737,200131,+4.30%,ukraine,"Біла Церква,ukraine","Біла Церква, Білоцерківська міська громада, Білоцерківський район, Київська область, 09100-09117, Україна","(49.8038191, 30.1116924, 0.0)",49.8038191,30.1116924,0.0
Kerch[b],Керч,Crimea,151996,157007,−3.19%,ukraine,"Керч,ukraine","Керчь, городской округ Керчь, Республика Крым, 98300-98399, Україна","(45.3534002, 36.4538645, 0.0)",45.3534002,36.4538645,0.0
Melitopol,Мелітополь,Zaporizhzhia,150768,160657,−6.16%,ukraine,"Мелітополь,ukraine","Мелітополь, Мелітопольська міська громада, Мелітопольський район, Запорізька область, 72300-72324, Україна","(46.8400009, 35.35786473485406, 0.0)",46.8400009,35.35786473485406,0.0
Kramatorsk,Краматорськ,Donetsk,150084,181025,−17.09%,ukraine,"Краматорськ,ukraine","Краматорськ, Краматорська міська громада, Краматорський район, Донецька область, 84300-84390, Україна","(48.7389415, 37.5843812, 0.0)",48.7389415,37.5843812,0.0
