Name,Name(Ukranian),Oblast,Population,Population(2001),Population_Change
Kyiv,Київ,none,2962180,2611327,+13.44%
Kharkiv,Харків,Kharkiv,1433886,1470902,−2.52%
Odessa,Одеса,Odessa,1015826,1029049,−1.28%
Dnipro,Дніпро,Dnipropetrovsk,980948,1080846,−9.24%
Donetsk[a],Донецьк,Donetsk,905364,1016194,−10.91%
Zaporizhzhia,Запоріжжя,Zaporizhzhia,722713,817882,−11.64%
Lviv,Львів,Lviv,721510,732818,−1.54%
Kryvyi Rih,Кривий Ріг,Dnipropetrovsk,612750,709014,−13.58%
Mykolaiv,Миколаїв,Mykolaiv,476101,514136,−7.40%
Sevastopol[b],Севасто́поль,none,464349,342451,+35.60%
Mariupol,Маріуполь,Donetsk,431859,492176,−12.26%
Luhansk[c],Луганськ,Luhansk,399559,463097,−13.72%
Vinnytsia,Вінниця,Vinnytsia,370601,356665,+3.91%
Makiivka[a],Макіївка,Donetsk,340337,389589,−12.64%
Simferopol[b],Сімферополь,Crimea,336212,343644,−2.16%
Chernihiv,Чернігів,Chernihiv,285234,304994,−6.48%
Kherson,Херсон,Kherson,283649,328360,−13.62%
Poltava,Полтава,Poltava,283402,317998,−10.88%
Khmelnytskyi,Хмельницький,Khmelnytskyi,274582,253994,+8.11%
Cherkasy,Черкаси,Cherkasy,272651,295414,−7.71%
Chernivtsi,Чернівці,Chernivtsi,265471,240621,+10.33%
Zhytomyr,Житомир,Zhytomyr,263507,284236,−7.29%
Sumy,Суми,Sumy,259600,293141,−11.44%
Rivne,Рівне,Rivne,245289,248813,−1.42%
Horlivka[a],Горлівка,Donetsk,241106,292250,−17.50%
Ivano-Frankivsk,Івано-Франківськ,Ivano-Frankivsk,237855,218359,+8.93%
Kamianske,Кам'янське,Dnipropetrovsk,229794,255841,−10.18%
Ternopil,Тернопіль,Ternopil,223938,227755,−1.68%
Kropyvnytskyi,Кропивницький,Kirovohrad,222695,254103,−12.36%
Kremenchuk,Кременчук,Poltava,217710,234073,−6.99%
Lutsk,Луцьк,Volyn,217197,208816,+4.01%
Bila Tserkva,Біла Церква,Kyiv,208737,200131,+4.30%
Kerch[b],Керч,Crimea,151996,157007,−3.19%
Melitopol,Мелітополь,Zaporizhzhia,150768,160657,−6.16%
Kramatorsk,Краматорськ,Donetsk,150084,181025,−17.09%
Uzhhorod,Ужгород,Zakarpattia,115542,117317,−1.51%
Brovary,Бровари,Kyiv,109473,86839,+26.06%
Yevpatoria[b],Євпаторія,Crimea,108149,105915,+2.11%
Berdiansk,Бердянськ,Zaporizhzhia,107928,121692,−11.31%
Nikopol,Нікополь,Dnipropetrovsk,107464,136280,−21.14%
Sloviansk,Слов'янськ,Donetsk,106972,124829,−14.31%
Alchevsk[c],Алчевськ,Luhansk,106550,119193,−10.61%
Pavlohrad,Павлоград,Dnipropetrovsk,103073,118816,−13.25%
Sievierodonetsk,Сєвєродонецьк,Luhansk,101135,119940,−15.68%
Kamianets-Podilskyi,Кам'янець-Подільський,Khmelnytskyi,97908,99610,−1.71%
Lysychansk,Лисичанськ,Luhansk,95031,115229,−17.53%
Mukachevo,Мукачево,Zakarpattia,85903,82346,+4.32%
Konotop,Конотоп,Sumy,84787,92657,−8.49%
Uman,Умань,Cherkasy,82154,88735,−7.42%
Krasnyi Luch,Хрустальний (Khrustalnyi),Luhansk,79764,94875,−15.93%
Yalta[b],Ялта,Crimea,78171,81654,−4.27%
Oleksandriia,Олександрія,Kirovohrad,77303,93357,−17.20%
Yenakiieve[a],Єнакієве,Donetsk,77053,103997,−25.91%
Drohobych,Дрогобич,Lviv,74610,79119,−5.70%
Berdychiv,Бердичів,Zhytomyr,73999,87575,−15.50%
Stakhanov[c],Кадіївка (Kadiivka),Luhansk,73702,90152,−18.25%
Shostka,Шостка,Sumy,73197,87130,−15.99%
Bakhmut,Бахмут,Donetsk,72310,82916,−12.79%
Izmail,Ізмаїл,Odessa,70731,84815,−16.61%
Novomoskovsk,Новомосковськ,Dnipropetrovsk,70230,72439,−3.05%
Kostiantynivka,Костянтинівка,Donetsk,68792,95111,−27.67%
Kovel,Ковель,Volyn,67991,66401,+2.39%
Feodosia[b],Феодосія,Crimea,67750,74669,−9.27%
Nizhyn,Ніжин,Chernihiv,66983,76625,−12.58%
Smila,Сміла,Cherkasy,66475,69681,−4.60%
Kalush,Калуш,Ivano-Frankivsk,65814,67902,−3.08%
Chervonohrad,Червоноград,Lviv,65180,70568,−7.64%
Boryspil,Бориспіль,Kyiv,63674,53975,+17.97%
Pervomaisk,Первомайськ,Mykolaiv,63377,70170,−9.68%
Sverdlovsk[c],Довжанськ (Dovzhansk),Luhansk,62993,72531,−13.15%
Irpin,Ірпінь,Kyiv,62456,40593,+53.86%
Korosten,Коростень,Zhytomyr,62285,66669,−6.58%
Pokrovsk,Покровськ,Donetsk,61161,69154,−11.56%
Kolomyia,Коломия,Ivano-Frankivsk,61140,61989,−1.37%
Stryi,Стрий,Lviv,59608,62479,−4.60%
Chornomorsk,Чорноморськ,Odessa,58524,54151,+8.08%
Khartsyzk[a],Харцизьк,Donetsk,56367,64175,−12.17%
Rubizhne,Рубіжне,Luhansk,56066,65322,−14.17%
Novohrad-Volynskyi,Новоград-Волинський,Zhytomyr,55463,56259,−1.41%
Druzhkivka,Дружківка,Donetsk,55088,64557,−14.67%
Lozova,Лозова,Kharkiv,54026,64041,−15.64%
Chystiakove[a],Чистякове,Donetsk,53725,72346,−25.74%
Enerhodar,Енергодар,Zaporizhzhia,52887,56242,−5.97%
Pryluky,Прилуки,Chernihiv,52553,64861,−18.98%
Antratsyt[c],Антрацит,Luhansk,52353,63698,−17.81%
Novovolynsk,Нововолинськ,Volyn,50417,53838,−6.35%
Horishni Plavni,Горішні Плавні,Poltava,50414,51740,−2.56%
Shakhtarsk[a],Шахтарськ,Donetsk,48404,59589,−18.77%
Bilhorod-Dnistrovskyi,Білгород-Дністровський,Odessa,48197,51890,−7.12%
Okhtyrka,Охтирка,Sumy,47216,50399,−6.32%
