title,link,description
Buffalo shooting: Ten dead in attack at supermarket in New York state,https://www.bbc.co.uk/news/world-us-canada-61452958?at_medium=RSS&at_campaign=KARANGA,"A suspect is arrested over the attack, which is being investigated as a racially-motivated hate crime."
"Eurovision 2022: Ukraine wins, while the UK's Sam Ryder comes second",https://www.bbc.co.uk/news/entertainment-arts-61452678?at_medium=RSS&at_campaign=KARANGA,"Ukraine's Kalush Orchestra triumphs, while Sam Ryder gives the UK its best result since 1998."
Ukraine war: Putin warns Finland joining Nato would be 'mistake',https://www.bbc.co.uk/news/world-europe-61450694?at_medium=RSS&at_campaign=KARANGA,Finland and Sweden have indicated they want to become Nato members following Russia's war in Ukraine.
"North Korea: Covid outbreak a great disaster, says Kim Jong-un",https://www.bbc.co.uk/news/world-asia-61446907?at_medium=RSS&at_campaign=KARANGA,North Korea's leader blames the outbreak on bureaucratic and medical incompetence.
Shireen Abu Aqla: UN condemns killing of Al Jazeera reporter,https://www.bbc.co.uk/news/world-middle-east-61448311?at_medium=RSS&at_campaign=KARANGA,Shireen Abu Aqla was shot dead in disputed circumstances in the occupied West Bank.
Delhi office fire: Dozens killed as fire sweeps through building,https://www.bbc.co.uk/news/world-asia-india-61445600?at_medium=RSS&at_campaign=KARANGA,"Most of those inside were women, leaving families frantically searching for news of their fate."
Nigeria student killing: Round-the-clock curfew in Sokoto after protests,https://www.bbc.co.uk/news/world-africa-61450976?at_medium=RSS&at_campaign=KARANGA,Demonstrators have been demanding the release of two suspects held over the murder of a Christian student.
Rome Open: Iga Swiatek beats Aryna Sabalenka to reach Rome Open final,https://www.bbc.co.uk/sport/tennis/61448479?at_medium=RSS&at_campaign=KARANGA,Iga Swiatek extends her winning run to 27 matches and moves within one victory of a fifth consecutive title by reaching the Italian Open final.
Kenyan fighting FGM crowned world's best nurse,https://www.bbc.co.uk/news/world-africa-61435153?at_medium=RSS&at_campaign=KARANGA,"Anna Qabale Duba says the $250,000 prize money will help expand her school for children and adults."
Mao Zedong scroll thieves jailed in Hong Kong,https://www.bbc.co.uk/news/world-asia-china-61442748?at_medium=RSS&at_campaign=KARANGA,The thieves were unaware of its value and sold it to an amateur collector for less than $25 (£20).
Brittney Griner: US basketball star has Russian detention extended,https://www.bbc.co.uk/news/world-us-canada-61417928?at_medium=RSS&at_campaign=KARANGA,"Russian media says Moscow wishes to ""swap"" Griner for the arms trafficker Viktor Bout."
Elon Musk puts Twitter deal on hold over fake account details,https://www.bbc.co.uk/news/business-61433724?at_medium=RSS&at_campaign=KARANGA,"The billionaire wants more data on fake accounts, prompting speculation over the deal's future."
Covid: What will the pandemic look like in North Korea?,https://www.bbc.co.uk/news/world-asia-61450255?at_medium=RSS&at_campaign=KARANGA,"North Korea is uniquely vulnerable to the virus, and the options to control its spread are limited."
East Africa drought: 'The suffering here has no equal',https://www.bbc.co.uk/news/world-africa-61437239?at_medium=RSS&at_campaign=KARANGA,Some 20 million people face severe hunger but aid agencies say the world's attention is on Ukraine.
Ukraine conflict: Russian soldiers seen killing unarmed civilians,https://www.bbc.co.uk/news/world-europe-61425025?at_medium=RSS&at_campaign=KARANGA,"The incident, captured on video seen by the BBC, is being investigated as a suspected war crime."
Sri Lanka crisis: How war heroes became villains,https://www.bbc.co.uk/news/world-asia-61411532?at_medium=RSS&at_campaign=KARANGA,"The Rajapaksa brothers, hailed by many as heroes for winning the civil war, are now reviled as leaders."
Afghanistan pupils in fear after spate of Islamic State attacks,https://www.bbc.co.uk/news/world-asia-61404083?at_medium=RSS&at_campaign=KARANGA,A spate of Islamic State attacks have left Afghan students in fear and test Taliban security claims.
Eurovision 2022: Highlights of Ukraine's winning night,https://www.bbc.co.uk/news/entertainment-arts-61453628?at_medium=RSS&at_campaign=KARANGA,"Ukraine won the Eurovision song contest 2022, with the UK coming second, its best result since 1998."
Fleeing Syria 10 years on: 'We cried all the way to Jordan',https://www.bbc.co.uk/news/stories-61412333?at_medium=RSS&at_campaign=KARANGA,A family looks back after a decade living in the world's largest Syrian refugee camp.
Roe v Wade: Thousands attend rallies in US cities to support abortion rights,https://www.bbc.co.uk/news/world-us-canada-61451922?at_medium=RSS&at_campaign=KARANGA,Pro-choice supporters are concerned that the Supreme Court could overturn the legal right to abortion.
Violence at Al Jazeera journalist's funeral procession,https://www.bbc.co.uk/news/world-middle-east-61445446?at_medium=RSS&at_campaign=KARANGA,"Police with riot gear hit mourners, saying they were pelted with stones, as crowds carry her coffin."
Custom-made brace helps heal baby giraffe,https://www.bbc.co.uk/news/world-us-canada-61450144?at_medium=RSS&at_campaign=KARANGA,"Vets in San Diego, California, came up with a creative solution to treat a young calf's limb disorder."
