title,link,description
Somalia: Lawmakers meet to choose president in delayed vote,https://www.dw.com/en/somalia-lawmakers-meet-to-choose-president-in-delayed-vote/a-61803936?maca=en-rss-en-all-1573-rdf,"After over a year of in-fighting and delays, lawmakers will finally have the chance to elect a new president. Current President Farmajo is hoping to keep his job."
Finland officially announces support for NATO membership,https://www.dw.com/en/finland-officially-announces-support-for-nato-membership/a-61803764?maca=en-rss-en-all-1573-rdf,"The move is a stark U-turn for the country, which held a more neutral stance on the alliance in the past. Sweden is expected to follow suit."
"Ukraine: Russia 'lost momentum' in Donbas, says UK — live updates",https://www.dw.com/en/ukraine-russia-lost-momentum-in-donbas-says-uk-live-updates/a-61802649?maca=en-rss-en-all-1573-rdf,"According to British military intelligence, Russian forces are ""behind schedule"" as they failed to make significant gains in the Donbas region in eastern Ukraine. DW has the latest."
Last show of Benin Bronzes in Cologne before their return,https://www.dw.com/en/last-show-of-benin-bronzes-in-cologne-before-their-return/a-61749285?maca=en-rss-en-all-1573-rdf,"Before the Benin Bronzes are restituted to Nigeria, the Rautenstrauch-Joest Museum is showing the works from its collection. Nigerian Ambassador Yusuf Tuggar hopes a return date will be found by June."
Germany: Voters cast ballots in key North Rhine-Westphalia election,https://www.dw.com/en/germany-voters-cast-ballots-in-key-north-rhine-westphalia-election/a-61803497?maca=en-rss-en-all-1573-rdf,"Some 13 million people have been called on to choose a new state-level legislature, the results of which will be seen as an appraisal of the performance of Chancellor Olaf Scholz's ruling coalition."
"Lebanon holds first vote since financial meltdown, blast",https://www.dw.com/en/lebanon-holds-first-vote-since-financial-meltdown-blast/a-61803228?maca=en-rss-en-all-1573-rdf,Voters have started casting their ballots in a crucial parliamentary election in the crisis-ridden Middle Eastern nation. The final results could punish Lebanon's political elite in a time of economic despair.
Macron seeks to shore up support ahead of key parliamentary poll,https://www.dw.com/en/macron-seeks-to-shore-up-support-ahead-of-key-parliamentary-poll/a-61792873?maca=en-rss-en-all-1573-rdf,Recently reelected French President Macron has begun a second term in the Elysee. But he faces another fight in French parliamentary elections in June against a savvy leftist candidate hell-bent on being prime minister.
US: 10 killed in shooting at Buffalo supermarket,https://www.dw.com/en/us-10-killed-in-shooting-at-buffalo-supermarket/a-61802260?maca=en-rss-en-all-1573-rdf,"The alleged shooter was in custody, and the FBI said the attack at a supermarket in New York state was being investigated as a ""racially motivated"" crime."
COVID: North Korea reports further deaths amid health crisis,https://www.dw.com/en/covid-north-korea-reports-further-deaths-amid-health-crisis/a-61802903?maca=en-rss-en-all-1573-rdf,"North Korea on Sunday reported a total of 42 deaths from ""fever"" after admitting its first-ever COVID-19 cases days before. Lockdown policies have been implemented across the country, according to state-run media."
Protests erupt in Nigerian city after blasphemy killing,https://www.dw.com/en/protests-erupt-in-nigerian-city-after-blasphemy-killing/a-61802804?maca=en-rss-en-all-1573-rdf,"A Christian student accused of blasphemy was killed by a mob of Muslim students in Sokoto. Protesters took to the streets, demanding the release of the suspects."
Eurovision Song Contest 2022: Ukraine wins the public's hearts,https://www.dw.com/en/eurovision-song-contest-2022-ukraine-wins-the-public-s-hearts/a-61788818?maca=en-rss-en-all-1573-rdf,"Europe's annual song and dance extravaganza wasn't short on either entertainment or pyrotechnics, but voting remained nail-biting until the end."
Jürgen Klopp maintains hex on Tuchel to make history in the FA Cup with Liverpool,https://www.dw.com/en/jürgen-klopp-maintains-hex-on-tuchel-to-make-history-in-the-fa-cup-with-liverpool/a-61802062?maca=en-rss-en-all-1573-rdf,"Jürgen Klopp has become the first German coach to win the FA Cup as his Liverpool team beat Chelsea. Klopp’s victory came against another German coach, Thomas Tuchel, who remains in his compatriot’s shadow."
Inflation and food prices fuel social tension in Argentina,https://www.dw.com/en/inflation-and-food-prices-fuel-social-tension-in-argentina/a-61801214?maca=en-rss-en-all-1573-rdf,"With annual inflation up 58% in April, there is pressure on Argentina's government to introduce effective countermeasures. Tens of thousands of people have protested on the streets."
"'You're mad!': Pride in Freiburg outweighs Champions League disappointment, Stuttgart safe, Hertha in playoff",https://www.dw.com/en/you-re-mad-pride-in-freiburg-outweighs-champions-league-disappointment-stuttgart-safe-hertha-in-playoff/a-61801218?maca=en-rss-en-all-1573-rdf,"RB Leipzig dealt Freiburg a pre-Cup final blow by securing the final Champions League spot. Elsewhere, Union Berlin join Freiburg in the Europa League and Stuttgart are safe, leaving Hertha Berlin facing a playoff."
