title,link,description
Putin sorry for Lavrov's claim Hitler was part Jewish - Israel PM,https://www.bbc.co.uk/news/world-middle-east-61339749?at_medium=RSS&at_campaign=KARANGA,"Russia's foreign minister claimed that Nazi leader Adolf Hitler had Jewish blood, sparking outrage."
"Ukraine war has dragged on, admits Putin ally Lukashenko",https://www.bbc.co.uk/news/world-europe-61339742?at_medium=RSS&at_campaign=KARANGA,Belarus's authoritarian leader Lukashenko has defended the war but wants it to end.
Donbas fighting: Risking capture to evacuate the vulnerable from the front line,https://www.bbc.co.uk/news/world-europe-61328947?at_medium=RSS&at_campaign=KARANGA,"Civilian volunteers are going to the front line, but some have been detained by Russian forces."
"Covid: World’s true pandemic death toll nearly 15 million, says WHO",https://www.bbc.co.uk/news/health-61327778?at_medium=RSS&at_campaign=KARANGA,These include deaths from Covid and from the indirect effects of the pandemic over two years worldwide.
China building collapse: Woman rescued from rubble after six days,https://www.bbc.co.uk/news/world-asia-china-61332324?at_medium=RSS&at_campaign=KARANGA,The collapse of a building in the city of Changsha is now known to have killed at least 26 people.
Kenya alarm after carrier bag mistaken for stray lion,https://www.bbc.co.uk/news/world-africa-61335539?at_medium=RSS&at_campaign=KARANGA,The Kenyan villagers were on alert after some of their livestock had recently gone missing.
Elon Musk lines up $7bn backing for Twitter deal,https://www.bbc.co.uk/news/business-61337622?at_medium=RSS&at_campaign=KARANGA,The billionaire has tapped the likes of Oracle's Larry Ellison and Sequoia to finance the takeover.
"Iraq dust storm leaves 5,000 people needing treatment",https://www.bbc.co.uk/news/world-middle-east-61335124?at_medium=RSS&at_campaign=KARANGA,"It is the seventh severe dust storm in weeks, turning skies orange and causing breathing problems."
Senegal midwives go on trial in Louga over Astou Sokhna's death,https://www.bbc.co.uk/news/world-africa-61335534?at_medium=RSS&at_campaign=KARANGA,"Astou Sokhna died after reportedly being refused a Caesarean, sparking a national outcry."
Turkey's cost of living soars nearly 70%,https://www.bbc.co.uk/news/business-61332272?at_medium=RSS&at_campaign=KARANGA,Everyday goods including food and transport costs have seen among the biggest annual increases.
Why 9 May Victory Day is so important for Russia,https://www.bbc.co.uk/news/world-europe-61332283?at_medium=RSS&at_campaign=KARANGA,"Vladimir Putin has made it an annual event, but amid war in Ukraine 9 May has taken on new significance."
'There's power in names': Antigua unearths lost ancestors,https://www.bbc.co.uk/news/world-latin-america-61174988?at_medium=RSS&at_campaign=KARANGA,A landmark genealogy project is unearthing the names of enslaved people whose stories were erased.
Wealthy Russians flee to Dubai to avoid sanctions,https://www.bbc.co.uk/news/business-61257448?at_medium=RSS&at_campaign=KARANGA,"Property purchases by Russians in Dubai surged by 67% in the first quarter of 2022, a report says."
Myanmar civil war: ‘I saw my son’s body on Facebook’,https://www.bbc.co.uk/news/world-asia-india-61327821?at_medium=RSS&at_campaign=KARANGA,"After the Myanmar military entered his village, Joseph fled into the jungle but his 13-year-old was killed."
Africa's digital business: The women swapping shops for smartphones,https://www.bbc.co.uk/news/world-africa-61318779?at_medium=RSS&at_campaign=KARANGA,Three African women explain how they have boosted their income by going digital since Covid.
Bill Gates on Elon Musk feud and Jeffrey Epstein meetings,https://www.bbc.co.uk/news/technology-61329167?at_medium=RSS&at_campaign=KARANGA,"The Microsoft tycoon talks to the BBC about divorce, conspiracy theories and Elon Musk."
Why Sigrid feels on top of the world,https://www.bbc.co.uk/news/entertainment-arts-61271404?at_medium=RSS&at_campaign=KARANGA,"The pop star talks lockdown blues, singing Nirvana at school, and why she moved all her gold discs."
How Covid-scarred Shanghai will finally exit lockdown,https://www.bbc.co.uk/news/world-asia-china-61307148?at_medium=RSS&at_campaign=KARANGA,"A mass clean-up is sweeping through Shanghai, with the city's gradual reopening expected to follow."
Russia rehearses World War Two victory parade,https://www.bbc.co.uk/news/world-europe-61333748?at_medium=RSS&at_campaign=KARANGA,"Military vehicles, weapons and soldiers were on display at a rehearsal for Russia's Victory Day parade."
Dust storm and wildfires seen from space,https://www.bbc.co.uk/news/world-us-canada-61333747?at_medium=RSS&at_campaign=KARANGA,Satellite images show gusts of up to 60mph blowing dust across Colorado and plumes of smoke in New Mexico.
Disabled children 'dumped' in Ukrainian institutions,https://www.bbc.co.uk/news/world-europe-61325277?at_medium=RSS&at_campaign=KARANGA,Thousands of disabled Ukrainian children reportedly left in institutions that can’t care for them.
Durban floods survivors: 'I thought the world was ending',https://www.bbc.co.uk/news/world-africa-61325457?at_medium=RSS&at_campaign=KARANGA,"Moeketsi Manake and his family talk about losing everything, including their house, in the Durban floods."
Hungary will veto EU oil ban proposal - minister,https://www.bbc.co.uk/news/world-europe-61319518?at_medium=RSS&at_campaign=KARANGA,Zoltán Kovács says the proposal is against the country's interests and would ruin the Hungarian economy.
Ukraine: Putin 'apologizes' to Israeli PM over Russia's Holocaust remarks — live updates,https://www.dw.com/en/ukraine-putin-apologizes-to-israeli-pm-over-russia-s-holocaust-remarks-live-updates/a-61688699?maca=en-rss-en-all-1573-rdf,Russia's President Vladimir Putin discussed the war in Ukraine with Israel's Prime Minister Naftali Bennett after his foreign minister infuriated Israel with comments about Hitler. Follow DW for the latest.
