title,link,description
"Live Ukraine Updates: Calling Off Steel Plant Assault, Putin Prematurely Claims Victory in Mariupol",https://www.nytimes.com/live/2022/04/21/world/ukraine-russia-war-news,"Russia’s president said he would blockade rather than storm the Mariupol factory where Ukrainian forces were holding out, but a soldier in the plant said shelling continued. President Biden said the U.S. was sending more weapons to help Kyiv."
Macron and Le Pen Trade Punches in Pivotal French Election Debate,https://www.nytimes.com/2022/04/20/world/europe/macron-le-pen-france-election-debate.html,He attacked the far-right leader as a Putin stooge. She hit back at him as the president of division and contempt.
This Spanish Village Has More Booksellers Than School Pupils,https://www.nytimes.com/2022/04/21/world/europe/uruena-spain-book-hub.html,"Urueña, in northwestern Spain, has fought depopulation by reinventing itself as a literary hub. The full-time population is still just 100, but there are 11 shops selling books."
Gazan Militants and Israeli Air Force Exchange Fire,https://www.nytimes.com/2022/04/21/world/middleeast/israel-gaza-rocket-fire.html,"The flare-up followed a rise in tensions over holy places in Jerusalem and a deadly wave of Arab attacks in Israel, answered by a lethal Israeli crackdown in the occupied West Bank."
Explosion at Afghan Mosque Kills at Least 10,https://www.nytimes.com/2022/04/21/world/asia/afghanistan-mosque-bombing.html,"The blast in Mazar-i-Sharif, one of Afghanistan’s economic hubs, was the latest in a series of attacks on one of its religious minorities and was claimed by an ISIS affiliate."
How Hated Is Macron? It Could Decide the French Election.,https://www.nytimes.com/2022/04/20/world/europe/france-macron-unpopular.html,"Given the choice between a president they suspect of despising ordinary people and a far-right candidate they detest, many French voters may stay home."
S​outh Korea’s Supreme Court ​Issues Landmark Ruling on Gay Sex,https://www.nytimes.com/2022/04/21/world/asia/south-korea-gay-sex-military.html,​The court said that the military should not punish consensual sex acts that had taken place in a nonmilitary setting.
Why China’s Security Pact With the Solomon Islands is a Threat,https://www.nytimes.com/2022/04/20/world/australia/china-solomon-islands-security-pact.html,"In potentially opening the door to a Chinese military base, the Solomon Islands threatens the balance of power in a vital shipping region."
U.K. Court Order Moves Assange Closer to Extradition,https://www.nytimes.com/2022/04/20/world/europe/assange-uk-extradition.html,"The court formally ordered the extradition of the WikiLeaks founder to the United States, but it still needs approval from a British cabinet minister and his defense can appeal to her directly."
"Deep in Colombia, Rebels and Soldiers Fight for the Same Prize: Drugs",https://www.nytimes.com/2022/04/20/world/americas/colombia-comandos-armed-groups.html,The country signed a historic peace deal more than five years ago. But a power vacuum is fueling the rise of new armed groups competing to control the drug trade.
"France’s Presidential Election 2022: Your Runoff Questions, Answered",https://www.nytimes.com/article/france-presidential-election-2022.html,"President Emmanuel Macron will face Marine Le Pen, the far-right leader, in the runoff on Sunday. The outcome will be crucial for France and reverberate globally."
Housing Crisis Propels High Death Toll in South Africa Floods,https://www.nytimes.com/2022/04/20/world/africa/south-africa-floods-climate-change-housing.html,The catastrophe underscored an overlooked reality in the fight against extreme weather: Protecting people is as much about tackling social issues as environmental ones.
6 Rohingya Refugees Are Killed Fleeing Detention Center in Malaysia,https://www.nytimes.com/2022/04/20/world/asia/rohingya-refugees-malaysia-deaths.html,"In recent years, the Malaysian government has taken a more hard-line approach to the refugees in the country, which once offered a modicum of opportunity."
He Was a Penniless Donor to the Far Right. He Was Also a Russian Spy.,https://www.nytimes.com/2022/04/20/world/europe/russian-spies-europe-ukraine.html,An investigation in Slovakia has exposed how Russian clandestine operations are trying to sow discord in Europe and create sympathy for Moscow over Ukraine.
"Putin Claims Victory in Mariupol, Calling Off Steel Plant Assault",https://www.nytimes.com/2022/04/21/world/europe/putin-mariupol-steel-plant.html,"With casualties mounting and progress slow in his war on Ukraine, Vladimir V. Putin is eager to present it to the Russian people as a success."
"Next Phase of War Will Be Pivotal for Russia and Ukraine, U.S. Says",https://www.nytimes.com/2022/04/21/us/politics/russia-ukraine-military-biden.html,"Reflecting a renewed sense of urgency, President Biden announced that the United States would send the Ukrainians $800 million more in military aid."
Your Friday Briefing: Putin’s Defensive Speech,https://www.nytimes.com/2022/04/21/briefing/putin-mariupol-russia-ukraine.html,"The Russian leader claimed victory in Mariupol, despite Ukrainian resistance."
US Braces for Potential French Election Shockwave,https://www.nytimes.com/2022/04/21/us/politics/france-election-biden.html,An upset victory by the right-wing nationalist Marine Le Pen in the presidential election on Sunday could scramble President Biden’s foreign policy.
What to Know About the Weapons Being Sent to Ukraine,https://www.nytimes.com/2022/04/21/world/europe/us-weapons-ukraine.html,The Biden administration is sending dozens of howitzers and 120 drones in the latest $800 million package of military aid.
Mikhail Vasenkov Dies at 79; His Spy Ring Inspired ‘The Americans’,https://www.nytimes.com/2022/04/21/world/europe/mikhail-vasenkov-dead.html,He and his wife were among 10 Soviet sleeper agents who blended into American society before being exposed and deported in 2010. The TV series sprung from the episode.
Biden Announces $800 Million in Military Aid and Questions Russia’s Hold of Mariupol,https://www.nytimes.com/2022/04/21/world/europe/biden-ukraine-aid.html,President Biden said President Vladimir V. Putin of Russia would “never succeed in dominating” Ukraine.
US Is Extending Vaccine Rule for International Travelers at Land Borders,https://www.nytimes.com/2022/04/21/us/politics/us-vaccine-international-land-borders.html,"Unlike air travelers entering the United States, land and ferry travelers will still not have to show a recent negative coronavirus test to cross the border."
Perils of Invisible Government,https://www.nytimes.com/2022/04/21/briefing/biden-invisible-government-american-rescue-plan.html,The American Rescue Plan is huge and yet little noticed.
"With Moskva Warship Sunken, Russia Disinformation Faces a Test",https://www.nytimes.com/2022/04/21/world/europe/russia-moskva-warship-disinformation.html,Families of missing crew members say the Russian authorities are giving them the runaround after a flagship sank last week in the Black Sea.
