name,alternate_names,code,population,latitude,longitude
Shyroke,"Chebabcea,Kebabcha,Kebakchi,Kebaktschy,Kibabcha,Shiroke,Shirokoye,Shyroke,shen luo ke,Кібабча,Широке,什羅克",PPL,1374,45.96499,30.0903
Sloboda-Komarivtsi,"Sloboda Komarivtsi,Sloboda-Komarivci,Sloboda-Komarovcy,Slobozia Comarestilor,Slobozia Comăreștilor,Слобода-Комаровцы,Слобода-Комарівці",PPL,1120,48.22842,25.62757
Sevastopol,"Akhiar,Akhtyar,Akujar,Akyar,Aqjar,Aqyar,Sebastopol,Sebastopoli,Sebastopolis,Sebastopolo,Sebastòpol,Sevastopal',Sevastopol,Sevastopol',Sevastopole,Sevastopolis,Sevastopolj,Sevastopolo,Sevastopoľ,Sevastoupoli,Sewastopol,Sivastopol,Szevasztopol,Sébastopol,UKS,sai wa si tuo bo er,sbstwpwl,sebaseutopol,sevhastopola,sevuasutopori,swastwpwl,syfastwbwl,Σεβαστούπολη,Акъяр,Севастопаль,Севастопол,Севастополь,Севастопољ,סבסטופול,سواستوپول,سيفاستوبول,सेव्हास्तोपोल,ဆီပတ်စတိုပိုမြို့,სევასტოპოლი,セヴァストポリ,塞瓦斯托波爾,세바스토폴",PPLA,464349,44.60795,33.52134
Serhiivka,"Odabasha,Sergeyevka,Sergheevca,Serghieste,Serghieşte,Sergiivka,Serhiivka,Serhiyivka,Serzheshte,Siergiejewka,xie er ji yi fu ka,Одабаша,Сергіївка,謝爾吉伊夫卡",PPL,1420,46.00055,29.95801
Serby,"Serbi,Serby,Серби,Сербы",PPL,1920,48.10061,29.0646
Romny,"Rommy,Romnai,Romni,Romny,Romnî,Romnı,lomni,luo mu nei,romni,romunui,rwmny,Ромни,Ромны,Ռոմնի,רומני,رومنی,რომნი,ロムヌィ,羅姆內,롬니",PPLA2,48570,50.75104,33.47471
Ralivka,"Radlovichi,Ralevka,Ralivka,Ралевка,Ралівка",PPL,3926,49.49982,23.23739
P'yatypill'ya,"P'jatipillja,P'jatypill'ja,Piatypillia,Pjatypillja,Proletariy,Proletars'ke,Proletarskij,Proletarskoe,Proletarskoye,Proletarsky,Proletarsskij,Proletarssky,Proletars’ke,Pyatipilla,Pyatipol'ye,Pyatipol’ye,Pyatıpillâ,pu luo lie ta er xi ke,П'ятипілля,Пролетарське,Պրոլետարսկոե,普罗列塔尔西克,普羅列塔爾西克",PPL,3158,48.0159,38.09979
Pidbuzh,"Pidbuzh,Podbuz,Podbuzh,Podbuż,Подбуж,Підбуж",PPL,2739,49.33194,23.25117
Onokivtsi,"Onokivci,Onokivtsi,Onokovcy,Onokovtse,Onokovtsy,Оноковцы,Оноківці",PPL,2187,48.65763,22.34183
Okunevka,"Beshi,Okunevka,Okunivka,Okunjovka,Tarpanchi,Беши́,Окунёвка,Окунівка,Тарпанчи́",PPLA3,522,45.36855,32.76357
Okhotskoye,"Alikech,Okhots'ke,Okhotskoe,Okhotskoye,Алике́ч,Охотское,Охотське",PPLA3,1328,45.48612,34.86401
Nechayane,"Nechajane,Nechajannoe,Netchaiane,Nétchaïané,Нечаяне,Нечаянное",PPL,1874,46.94416,31.55113
Molodohvardiisk,"Molodogvardejsk,Molodogvardejskoe,Molodogvardeysk,Molodogvardeyskoye,Molodogvardijs'k,Molodohvardiisk,Molodohvardiys'k,Molodohvardiys’k,Молодогвардейск,Молодогвардейское,Молодогвардійськ",PPL,22514,48.34511,39.65244
Molochansk,"Gal'bshtadt,Halbstadt,Molochans'k,Molochansk,Molotchansk,Гальбштадт,Молочанск,Молочанськ",PPL,6224,47.20405,35.59789
Mizoch,"Mizoc,Mizoch,Mizocz,Мізоч",PPL,3365,50.4,26.15
Maly Mayak,"Bijuk-Lambat,Buejuek Lambat,Büjük Lambat,Malij Majak,Maly Mayak,Malyj Majak,Бию́к-Ламба́т,Малий Маяк,Малый Маяк",PPL,2298,44.61356,34.36469
