title,link,description
Buffalo shooting: Ten dead in racially motivated attack at New York state store,https://www.bbc.co.uk/news/world-us-canada-61452958?at_medium=RSS&at_campaign=KARANGA,"An 18-year-old is charged over the New York state attack, which is being investigated as a racial hate crime."
Buffalo shooting: 'Bodies were everywhere',https://www.bbc.co.uk/news/world-us-canada-61454989?at_medium=RSS&at_campaign=KARANGA,Eyewitnesses describe shock and disbelief after a gunman shot 10 people dead in New York state.
Ukraine war: Finland confirms Nato bid despite Putin warning,https://www.bbc.co.uk/news/world-europe-61456726?at_medium=RSS&at_campaign=KARANGA,"President Niinisto called the move - a response to Russia invading Ukraine - a ""historic day""."
"Eurovision 2022: Ukraine wins, while the UK's Sam Ryder comes second",https://www.bbc.co.uk/news/entertainment-arts-61452678?at_medium=RSS&at_campaign=KARANGA,"Ukraine's Kalush Orchestra triumphs, while Sam Ryder gives the UK its best result since 1998."
Eurovision win brings 'incredible happiness' to Ukraine,https://www.bbc.co.uk/news/world-europe-61442439?at_medium=RSS&at_campaign=KARANGA,Public support helped push Kalush Orchestra and their song Stefania on to win with 631 points.
Somalia's presidential election: Where just 329 people vote,https://www.bbc.co.uk/news/world-africa-61438047?at_medium=RSS&at_campaign=KARANGA,"Only MPs, voting in a heavily fortified zone, will decide on who will lead the troubled country."
Saudi Aramco: Oil giant sees profits jump as prices surge,https://www.bbc.co.uk/news/business-61455301?at_medium=RSS&at_campaign=KARANGA,The state-owned Saudi Aramco is currently the world's most valuable company due to soaring oil prices.
Kenya elections 2022: William Ruto picks Rigathi Gachagua as running mate,https://www.bbc.co.uk/news/world-africa-61455270?at_medium=RSS&at_campaign=KARANGA,"William Ruto, a frontrunner in this year's presidential election, picks businessman Rigathi Gachagua."
Abortion rights rallies held around the US,https://www.bbc.co.uk/news/world-us-canada-61451922?at_medium=RSS&at_campaign=KARANGA,Pro-choice supporters are concerned that the Supreme Court could overturn the legal right to abortion.
Delhi office fire: Dozens killed as fire sweeps through building,https://www.bbc.co.uk/news/world-asia-india-61445600?at_medium=RSS&at_campaign=KARANGA,"Most of those inside were women, leaving families frantically searching for news of their fate."
Shireen Abu Aqla: UN condemns killing of Al Jazeera reporter,https://www.bbc.co.uk/news/world-middle-east-61448311?at_medium=RSS&at_campaign=KARANGA,Shireen Abu Aqla was shot dead in disputed circumstances in the occupied West Bank.
Afghanistan face veil decree: 'It feels like being a woman is a crime',https://www.bbc.co.uk/news/world-asia-61402309?at_medium=RSS&at_campaign=KARANGA,Afghan women speak out against compulsory male chaperones and new mandate to wear all-covering veils.
Her father went to prison - so she went to law school,https://www.bbc.co.uk/news/world-us-canada-61401556?at_medium=RSS&at_campaign=KARANGA,Her father's incarceration on non-violent drug crimes inspired Teeanna Brisco to go to law school.
"'I searched for my sister for 30 years, but Covid took her from me'",https://www.bbc.co.uk/news/uk-61179504?at_medium=RSS&at_campaign=KARANGA,"As a child Steve Ellis uncovered a family secret, 60 years later it led to an unexpected friendship."
Australia election 2022: Are Australia's refugee releases an election ploy?,https://www.bbc.co.uk/news/world-australia-61423035?at_medium=RSS&at_campaign=KARANGA,"As refugees detained for years are abruptly released, some think the upcoming election is the reason."
Nova Scotia shooting: First-hand accounts heard in probe of Canada tragedy,https://www.bbc.co.uk/news/world-us-canada-61300308?at_medium=RSS&at_campaign=KARANGA,A probe into Canada's worst mass shooting has revealed new details about killer and police response.
Eurovision 2022: Highlights of Ukraine's winning night,https://www.bbc.co.uk/news/entertainment-arts-61453628?at_medium=RSS&at_campaign=KARANGA,"Ukraine won the Eurovision song contest 2022, with the UK coming second, its best result since 1998."
Fleeing Syria 10 years on: 'We cried all the way to Jordan',https://www.bbc.co.uk/news/stories-61412333?at_medium=RSS&at_campaign=KARANGA,A family looks back after a decade living in the world's largest Syrian refugee camp.
Violence at Al Jazeera journalist's funeral procession,https://www.bbc.co.uk/news/world-middle-east-61445446?at_medium=RSS&at_campaign=KARANGA,"Police with riot gear hit mourners, saying they were pelted with stones, as crowds carry her coffin."
Custom-made brace helps heal baby giraffe,https://www.bbc.co.uk/news/world-us-canada-61450144?at_medium=RSS&at_campaign=KARANGA,"Vets in San Diego, California, came up with a creative solution to treat a young calf's limb disorder."
The Ukrainian refugee schoolgirl learning fast in the UK,https://www.bbc.co.uk/news/education-61396730?at_medium=RSS&at_campaign=KARANGA,"Ukrainian refugee Marharyta, nine, is learning English as she waits to start school in Manchester."
