titles,descriptions,links,pubDates
Buffalo shooting: Ten dead in racially motivated attack at New York state store ,"An 18-year-old is charged over the New York state attack, which is being investigated as a racial hate crime. ",https://www.bbc.co.uk/news/world-us-canada-61452958?at_medium=RSS&at_campaign=KARANGA ,"Sun, 15 May 2022 10:06:48 GMT "
Buffalo shooting: 'Bodies were everywhere' ,Eyewitnesses describe shock and disbelief after a gunman shot 10 people dead in New York state. ,https://www.bbc.co.uk/news/world-us-canada-61454989?at_medium=RSS&at_campaign=KARANGA ,"Sun, 15 May 2022 13:08:54 GMT "
Ukraine war: Finland confirms Nato bid despite Putin warning ,"President Niinisto called the move - a response to Russia invading Ukraine - a ""historic day"". ",https://www.bbc.co.uk/news/world-europe-61456726?at_medium=RSS&at_campaign=KARANGA ,"Sun, 15 May 2022 13:17:45 GMT "
"Eurovision 2022: Ukraine wins, while the UK's Sam Ryder comes second ","Ukraine's Kalush Orchestra triumphs, while Sam Ryder gives the UK its best result since 1998. ",https://www.bbc.co.uk/news/entertainment-arts-61452678?at_medium=RSS&at_campaign=KARANGA ,"Sat, 14 May 2022 23:30:37 GMT "
Eurovision win brings 'incredible happiness' to Ukraine ,Public support helped push Kalush Orchestra and their song Stefania on to win with 631 points. ,https://www.bbc.co.uk/news/world-europe-61442439?at_medium=RSS&at_campaign=KARANGA ,"Sun, 15 May 2022 04:07:13 GMT "
Somalia's presidential election: Where just 329 people vote ,"Only MPs, voting in a heavily fortified zone, will decide on who will lead the troubled country. ",https://www.bbc.co.uk/news/world-africa-61438047?at_medium=RSS&at_campaign=KARANGA ,"Sun, 15 May 2022 12:33:31 GMT "
Saudi Aramco: Oil giant sees profits jump as prices surge ,The state-owned Saudi Aramco is currently the world's most valuable company due to soaring oil prices. ,https://www.bbc.co.uk/news/business-61455301?at_medium=RSS&at_campaign=KARANGA ,"Sun, 15 May 2022 08:38:18 GMT "
Kenya elections 2022: William Ruto picks Rigathi Gachagua as running mate ,"William Ruto, a frontrunner in this year's presidential election, picks businessman Rigathi Gachagua. ",https://www.bbc.co.uk/news/world-africa-61455270?at_medium=RSS&at_campaign=KARANGA ,"Sun, 15 May 2022 13:19:04 GMT "
Abortion rights rallies held around the US ,Pro-choice supporters are concerned that the Supreme Court could overturn the legal right to abortion. ,https://www.bbc.co.uk/news/world-us-canada-61451922?at_medium=RSS&at_campaign=KARANGA ,"Sat, 14 May 2022 22:29:45 GMT "
Delhi office fire: Dozens killed as fire sweeps through building ,"Most of those inside were women, leaving families frantically searching for news of their fate. ",https://www.bbc.co.uk/news/world-asia-india-61445600?at_medium=RSS&at_campaign=KARANGA ,"Sat, 14 May 2022 13:17:49 GMT "
Shireen Abu Aqla: UN condemns killing of Al Jazeera reporter ,Shireen Abu Aqla was shot dead in disputed circumstances in the occupied West Bank. ,https://www.bbc.co.uk/news/world-middle-east-61448311?at_medium=RSS&at_campaign=KARANGA ,"Sat, 14 May 2022 08:35:36 GMT "
Afghanistan face veil decree: 'It feels like being a woman is a crime' ,Afghan women speak out against compulsory male chaperones and new mandate to wear all-covering veils. ,https://www.bbc.co.uk/news/world-asia-61402309?at_medium=RSS&at_campaign=KARANGA ,"Sun, 15 May 2022 01:35:44 GMT "
Her father went to prison - so she went to law school ,Her father's incarceration on non-violent drug crimes inspired Teeanna Brisco to go to law school. ,https://www.bbc.co.uk/news/world-us-canada-61401556?at_medium=RSS&at_campaign=KARANGA ,"Sat, 14 May 2022 18:49:56 GMT "
"'I searched for my sister for 30 years, but Covid took her from me' ","As a child Steve Ellis uncovered a family secret, 60 years later it led to an unexpected friendship. ",https://www.bbc.co.uk/news/uk-61179504?at_medium=RSS&at_campaign=KARANGA ,"Sun, 15 May 2022 01:42:50 GMT "
Australia election 2022: Are Australia's refugee releases an election ploy? ,"As refugees detained for years are abruptly released, some think the upcoming election is the reason. ",https://www.bbc.co.uk/news/world-australia-61423035?at_medium=RSS&at_campaign=KARANGA ,"Sun, 15 May 2022 00:26:26 GMT "
Nova Scotia shooting: First-hand accounts heard in probe of Canada tragedy ,A probe into Canada's worst mass shooting has revealed new details about killer and police response. ,https://www.bbc.co.uk/news/world-us-canada-61300308?at_medium=RSS&at_campaign=KARANGA ,"Sun, 15 May 2022 02:01:30 GMT "
Eurovision 2022: Highlights of Ukraine's winning night ,"Ukraine won the Eurovision song contest 2022, with the UK coming second, its best result since 1998. ",https://www.bbc.co.uk/news/entertainment-arts-61453628?at_medium=RSS&at_campaign=KARANGA ,"Sun, 15 May 2022 00:08:30 GMT "
Fleeing Syria 10 years on: 'We cried all the way to Jordan' ,A family looks back after a decade living in the world's largest Syrian refugee camp. ,https://www.bbc.co.uk/news/stories-61412333?at_medium=RSS&at_campaign=KARANGA ,"Sat, 14 May 2022 23:03:05 GMT "
Violence at Al Jazeera journalist's funeral procession ,"Police with riot gear hit mourners, saying they were pelted with stones, as crowds carry her coffin. ",https://www.bbc.co.uk/news/world-middle-east-61445446?at_medium=RSS&at_campaign=KARANGA ,"Fri, 13 May 2022 18:03:46 GMT "
Custom-made brace helps heal baby giraffe ,"Vets in San Diego, California, came up with a creative solution to treat a young calf's limb disorder. ",https://www.bbc.co.uk/news/world-us-canada-61450144?at_medium=RSS&at_campaign=KARANGA ,"Sat, 14 May 2022 11:50:24 GMT "
The Ukrainian refugee schoolgirl learning fast in the UK ,"Ukrainian refugee Marharyta, nine, is learning English as she waits to start school in Manchester. ",https://www.bbc.co.uk/news/education-61396730?at_medium=RSS&at_campaign=KARANGA ,"Thu, 12 May 2022 23:07:30 GMT "
