title,link,description
Ukraine Live Updates: Russia Presses on Eastern Front and Targets Final Fighters in Mariupol,https://www.nytimes.com/live/2022/05/05/world/ukraine-russia-war-news,"Russian forces sought to destroy the last pocket of resistance at Azovstal steel plant in Mariupol, which would let President Vladimir V. Putin claim a major victory before Moscow’s military celebration on Monday."
"India Finds Russian Oil an Irresistible Deal, No Matter the Diplomatic Pressure",https://www.nytimes.com/2022/05/04/world/asia/india-russia-oil.html,A parade of emissaries have urged a harder line on Russia. But India’s political neutrality over the war in Ukraine has expanded into economic opportunism.
Elon Musk Left a South Africa That Was Rife With Misinformation and White Privilege,https://www.nytimes.com/2022/05/05/world/africa/elon-musk-south-africa.html,The apartheid era created all-white enclaves littered with anti-Black government propaganda and sheltered from the atrocities of apartheid.
"In Senegal’s Former Capital, a Colonial Statue in Hiding Is No Longer Welcome",https://www.nytimes.com/2022/05/05/world/africa/senegal-faidherbe-statue.html,"The city of Saint-Louis was shaped by Louis Faidherbe, a French governor who also led brutal military campaigns in West Africa. What to do with his legacy has divided Senegal."
U.K. Local Elections Guide: What to Look For,https://www.nytimes.com/2022/05/05/world/europe/uk-local-elections-northern-ireland.html,"National politics may not be front and center in voters’ minds, but how they cast their ballots could signal their opinions of the main parties."
"Anti-Putin Russians Are Leaving, With a Push From the Kremlin",https://www.nytimes.com/2022/05/05/world/europe/russian-exiles-foreign-agents-putin.html,"Many Russians who are designated “foreign agents” by the government view it as another form of repression that makes living in the country, or returning to it, untenable."
Nicaragua’s Secretive Ruling Family Reaches Out Quietly to the U.S.,https://www.nytimes.com/2022/05/05/world/americas/nicaragua-ruling-family-us.html,"Sanctions intended to thwart the president’s dictatorial actions have hit his family and inner circle hard. More pain is expected as sanctions hit Russia, an ally."
Iraqis Choke Under a Blanket of Dust as Sandstorms Sweep the Country,https://www.nytimes.com/2022/05/05/world/middleeast/iraq-sandstorms-climate.html,"Orange skies signaled yet another dusty day for millions of Iraqis. It was the seventh such storm in recent months, and experts say more are on the way."
"What Is Russia’s May 9 Victory Day, and What Might Putin Say?",https://www.nytimes.com/2022/05/04/world/europe/russia-victory-day.html,"In the two decades that Vladimir V. Putin has led Russia, the country’s Victory Day marches, honoring Soviet sacrifices of World War II, have transformed into huge military spectacles and nostalgic celebrations."
Why Boris Johnson Will Be Tested in UK by Local Elections,https://www.nytimes.com/2022/05/05/world/europe/uk-elections-boris-johnson.html,The British prime minister is under fire for lockdown-breaking parties. But many voters are skeptical that the opposition can solve issues such as soaring prices.
"In Mexico, One Cartel Is Cleared, but Others Storm In",https://www.nytimes.com/2022/05/04/world/americas/mexico-cartels-michoacan.html,"In the state of Michoacán, small drug cartels compete with larger ones for territory, leaving the residents caught in the middle of a brutal turf war."
China’s Covid Lockdowns Leave Millions Out of Work,https://www.nytimes.com/2022/05/05/business/china-shanghai-covid-lockdown-economy.html,"Migrant workers and recent college graduates have been hit hardest by shuttered factories, closed construction sites and an anemic job market."
China’s Covid Policies Have European Companies Wary of Investing,https://www.nytimes.com/2022/05/05/business/china-covid-lockdown-europe.html,"Lockdowns and supply chain issues have soured European businesses in China on the idea of further investment in the country, a survey finds."
Turkey’s Plan to Draw Refugees Back to Syria: Homes for 1 Million,https://www.nytimes.com/2022/05/04/world/middleeast/turkey-syria-million-homes.html,"President Recep Tayyip Erdogan says Turkey will build homes, schools, hospitals and more in northern Syria, but experts question whether refugees will return willingly."
"Ricardo Alarcon, Diplomat and Castro Confidant, Dies at 84",https://www.nytimes.com/2022/05/05/world/americas/ricardo-alarcon-dead.html,"As Havana’s go-between with the U.S., he negotiated Elián González’s return to Cuba. He was also the country’s U.N. representative on two occasions."
Why the Battle for Mariupol Is Important for Putin,https://www.nytimes.com/2022/05/05/world/putin-war-mariupol-ukraine.html,A victory in the predominantly Russian-speaking city could give a veneer of credibility to the Russian leader’s false claims of ridding Ukraine of “Nazis.”
Europe’s Quest to Replace Russian Gas Faces Plenty of Hurdles,https://www.nytimes.com/2022/05/05/business/energy-environment/natural-gas-europe-russia-ukraine.html,"Climate concerns, investor reticence and political disputes complicate a shift to supplies from the United States, North Africa and the Mediterranean."
They Thought the Skulls Were Murder Victims’. They Were Off by Centuries.,https://www.nytimes.com/2022/05/05/world/americas/mexico-skulls-cave.html,"Originally thought to be the remnants of gang killings, dozens of skulls found in a cave in southern Mexico are now believed to be from sacrificial killings more than 1,000 years ago."
This Trump Play in London Is a Comedy. Unless You’re American.,https://www.nytimes.com/2022/05/05/theater/the-47th-play-trump-london.html,Mike Bartlett’s “The 47th” presents political turmoil in the United States for laughs. But some find it more like a horror story.
