titles,descriptions,links,pubDates
 Scholz: Ukraine won't accept Russian dictatorship, German Chancellor Olaf Scholz says he strongly believes Russia won't win its war in Ukraine. His remarks come as the conflict overshadows commemorations to mark the end of World War II in Europe., https://www.dw.com/en/scholz-ukraine-won-t-accept-russian-dictatorship/a-61724145?maca=en-rss-en-all-1573-rdf, 2022-05-08T19:05:00Z
 Wolfsburg reclaim Women's Bundesliga in some style," Bayern Munich wrestled the title from Wolfsburg last season, but the perennial women's Bundesliga champions have reclaimed it after a 10-1 win. Elsewhere Frankfurt are in good shape for Europe and Chelsea won the WSL.", https://www.dw.com/en/wolfsburg-reclaim-women-s-bundesliga-in-some-style/a-61726482?maca=en-rss-en-all-1573-rdf, 2022-05-08T18:44:00Z
 Germany: CDU set to win Schleswig-Holstein state election," The conservative CDU is on track for victory in the northern state of Schleswig-Holstein, forecasts from broadcasters ARD and ZDF show. The poll was seen as a test of Chancellor Olaf Scholz's response to the Ukraine war.", https://www.dw.com/en/germany-cdu-set-to-win-schleswig-holstein-state-election/a-61726509?maca=en-rss-en-all-1573-rdf, 2022-05-08T18:33:00Z
 Syria's Bashar Assad pays rare visit to ally Iran, Syrian President Bashar Assad has visited Iran for only the second time since the civil war broke out in his country. The two nations are united by their enmity toward Israel., https://www.dw.com/en/syria-s-bashar-assad-pays-rare-visit-to-ally-iran/a-61725309?maca=en-rss-en-all-1573-rdf, 2022-05-08T17:13:00Z
 EU citizens are full of hope for the future of Europe, A select group of citizens of the EU has gathered multiple times since last May to discuss what the bloc should look like in the years ahead. But implementing some of the ideas would mean overhauling how the EU works., https://www.dw.com/en/eu-citizens-are-full-of-hope-for-the-future-of-europe/a-61697022?maca=en-rss-en-all-1573-rdf, 2022-05-08T16:32:00Z
 How Schalke 'reinvented' themselves to get back to the Bundesliga," One year ago, Schalke were relegated in a cloud of internal chaos and on the brink of insolvency. Twelve months later, the Royal Blues are back in the Bundesliga and on the long road to financial recovery.", https://www.dw.com/en/how-schalke-reinvented-themselves-to-get-back-to-the-bundesliga/a-61724384?maca=en-rss-en-all-1573-rdf, 2022-05-08T14:45:00Z
 Israel: 2 Palestinian suspects in Elad attack arrested, Israeli security forces say they have arrested two Palestinians suspected of carrying out a deadly attack in the town of Elad last week. The detentions come after a massive manhunt., https://www.dw.com/en/israel-2-palestinian-suspects-in-elad-attack-arrested/a-61723450?maca=en-rss-en-all-1573-rdf, 2022-05-08T10:37:00Z
 Ukraine war puts spotlight on Red Cross service to find missing people, Wars and natural disasters tear families apart worldwide. The German Red Cross tries to put them back in touch., https://www.dw.com/en/ukraine-war-puts-spotlight-on-red-cross-service-to-find-missing-people/a-61712712?maca=en-rss-en-all-1573-rdf, 2022-05-08T09:20:00Z
 Nepal: Sherpa Kami Rita breaks own Everest record," The Nepalese Sherpa guide Kami Rita has scaled Mount Everest for the 26th time, setting a new world record. More than 300 people have died trying to conquer the world's highest peak.", https://www.dw.com/en/nepal-sherpa-kami-rita-breaks-own-everest-record/a-61723031?maca=en-rss-en-all-1573-rdf, 2022-05-08T09:04:00Z
 Ukraine: G7 to impose fresh sanctions on Russia — live updates," After talks with Ukrainian President Volodymyr Zelenskyy, leaders of the G7 nations pledged further economic isolation of Russia and vowed ""phasing out or banning"" Russian oil imports. Follow DW for the latest.", https://www.dw.com/en/ukraine-g7-to-impose-fresh-sanctions-on-russia-live-updates/a-61721480?maca=en-rss-en-all-1573-rdf, 2022-05-08T08:53:00Z
 Europe's first samurai museum opens in Berlin," As a new museum on the samurai opens in Berlin, here are five facts about how the legendary warriors and political elite shaped the history of Japan for centuries", https://www.dw.com/en/europe-s-first-samurai-museum-opens-in-berlin/a-61704500?maca=en-rss-en-all-1573-rdf, 2022-05-08T08:13:00Z
 Hong Kong: Ex-security chief John Lee named new leader," An election committee composed largely of pro-Beijing figures voted for John Lee, a former security official, to be the new leader of Hong Kong. Lee, the only candidate in the vote, replaces Carrie Lam in July.", https://www.dw.com/en/hong-kong-ex-security-chief-john-lee-named-new-leader/a-61722783?maca=en-rss-en-all-1573-rdf, 2022-05-08T05:27:00Z
 Benjamin Rich: British YouTuber denies reports of being arrested in Kazakhstan," Benjamin Rich, a British national known for his YouTube travel blog, shot back at Russia's claim that he was arrested at the Baikonur Cosmodrome spaceport. Rich said he was only questioned for a few hours by authorities.", https://www.dw.com/en/benjamin-rich-british-youtuber-denies-reports-of-being-arrested-in-kazakhstan/a-61720595?maca=en-rss-en-all-1573-rdf, 2022-05-08T03:31:00Z
 Germany: Police investigate device found at Russian news agency in Berlin," A device that was discovered Friday in the basement of Ria Novosti's office in Berlin's Steglitz district was ""probably incendiary,"" according to police. An investigation into the ""dangerous object"" is still ongoing.", https://www.dw.com/en/germany-police-investigate-device-found-at-russian-news-agency-in-berlin/a-61720964?maca=en-rss-en-all-1573-rdf, 2022-05-07T22:23:00Z
 Brazil: Lula launches presidential bid to overcome 'criminal' Bolsonaro," Luiz Inacio Lula da Silva said he wanted to ""send fascism back to the sewer of history"" at a rally in Sao Paulo. He served as the 35th president of Brazil from 2003 to 2010.", https://www.dw.com/en/brazil-lula-launches-presidential-bid-to-overcome-criminal-bolsonaro/a-61720499?maca=en-rss-en-all-1573-rdf, 2022-05-07T19:53:00Z
" What Sinn Fein's win could mean for Northern Ireland, UK"," For the first time, a nationalist party has become the strongest party in the Northern Ireland Assembly. What does Sinn Fein stand for? And what could this result mean for the future?", https://www.dw.com/en/what-sinn-fein-s-win-could-mean-for-northern-ireland-uk/a-61720107?maca=en-rss-en-all-1573-rdf, 2022-05-07T19:52:00Z
 Northern Ireland: Sinn Fein secures historic election win," The Irish nationalist party Sinn Fein vowed a ""new era"" as it won the most seats in the Assembly for the first time — a victory that could bring the party's ultimate goal of a united Ireland a step closer.", https://www.dw.com/en/northern-ireland-sinn-fein-secures-historic-election-win/a-61719108?maca=en-rss-en-all-1573-rdf, 2022-05-07T18:21:00Z
 Bayer Leverkusen strategy pays off with Champions League return, Bayer Leverkusen will return to the Champions League next season after a three-year absence. They got over the line with a typically topsy-turvy win that highlighted the long-term strategy the club has employed., https://www.dw.com/en/bayer-leverkusen-strategy-pays-off-with-champions-league-return/a-61719844?maca=en-rss-en-all-1573-rdf, 2022-05-07T16:58:00Z
 Mysterious series of deaths among Russian oligarchs," Seven Russian oligarchs, many involved with oil and gas, have recently died under mysterious circumstances. Though suicide is officially suspected, speculation about the Kremlin's involvement abounds.", https://www.dw.com/en/mysterious-series-of-deaths-among-russian-oligarchs/a-61719107?maca=en-rss-en-all-1573-rdf, 2022-05-07T16:28:00Z
 Bundesliga: Arminia Bielefeld on the brink," Arminia Bielefeld waited 11 years to return to the Bundesliga, but their two-season stay in the top flight seems set to end after defeat by Bochum. Arminia, one of Germany's yo-yo clubs, will no doubt be back for more.", https://www.dw.com/en/bundesliga-arminia-bielefeld-on-the-brink/a-61716065?maca=en-rss-en-all-1573-rdf, 2022-05-06T21:57:00Z
 Victory Day in Europe: Ukraine war puts spotlight on Russia, VE-Day marks Nazi Germany's unconditional surrender in WW2. Russia celebrates it on May 9 and many fear Vladimir Putin may use the opportunity to mobilize his country for all out war., https://www.dw.com/en/victory-day-in-europe-ukraine-war-puts-spotlight-on-russia/a-61713873?maca=en-rss-en-all-1573-rdf, 2022-05-06T15:35:00Z
 Borussia Dortmund cancel Israel trip after concerns raised, The post-season trip has been called off after members of Borussia Dortmund's team raised concerns due to the Israeli-Palestinian conflict. The Bundesliga runners-up were due to play a friendly against Maccabi Netanya., https://www.dw.com/en/borussia-dortmund-cancel-israel-trip-after-concerns-raised/a-61690901?maca=en-rss-en-all-1573-rdf, 2022-05-06T10:27:00Z
 Watching Karl Lagerfeld's estate go under the hammer," On the day Diego Maradona's football jersey fetched a record sum at Sotheby's London, DW's Brenda Haas went to the auction house's Cologne branch to watch her first auction.", https://www.dw.com/en/watching-karl-lagerfeld-s-estate-go-under-the-hammer/a-61703641?maca=en-rss-en-all-1573-rdf, 2022-05-06T09:03:00Z
 COVID-19: Pandemic trends in three charts, Only a few countries are reporting more new coronavirus infections compared with the previous two weeks. DW sums up the global data on the current situation in three charts., https://www.dw.com/en/covid-19-pandemic-trends-in-three-charts/a-53954594?maca=en-rss-en-all-1573-rdf, 2022-05-06T07:53:00Z
 Eintracht Frankfurt daring to believe in Europa League dream, Eintracht Frankfurt's win over West Ham in the Europa League semifinals secured them a place in a first major final for 42 years. It's about time this football club was introduced back to the continent's biggest stage., https://www.dw.com/en/eintracht-frankfurt-daring-to-believe-in-europa-league-dream/a-61703414?maca=en-rss-en-all-1573-rdf, 2022-05-06T07:28:00Z
 Germany's Fuggerei: The world's oldest social housing project," Five hundred years after the Fuggerei estate was opened in Augsburg, the rents remain under €1, and diverse people facing financial hardship still have housing security.", https://www.dw.com/en/germany-s-fuggerei-the-world-s-oldest-social-housing-project/a-58928076?maca=en-rss-en-all-1573-rdf, 2022-05-06T06:17:00Z
 Domenico Tedesco left to pick up the pieces following RB Leipzig's latest low," RB Leipzig's Europa League campaign crashed in Glasgow as Rangers won 3-1 to book their ticket to the final in Seville. For Leipzig coach Domenico Tedesco, it was another night to forget in a season going south.", https://www.dw.com/en/domenico-tedesco-left-to-pick-up-the-pieces-following-rb-leipzig-s-latest-low/a-61701358?maca=en-rss-en-all-1573-rdf, 2022-05-05T22:23:00Z
 Western companies leave Russia — taking Russian jobs with them," More and more Russians are losing their jobs due to Western sanctions on Russia, and some are having to painfully rethink their future. With some sanctions' effects yet to be felt, the number of unemployed could grow.", https://www.dw.com/en/western-companies-leave-russia-taking-russian-jobs-with-them/a-61697175?maca=en-rss-en-all-1573-rdf, 2022-05-05T16:10:00Z
 Think 8 hours of sleep is best? Think again!, Are you 38 or older? Then you may want to rethink how much sleep you truly need. A team of international researchers has found that less is more., https://www.dw.com/en/think-8-hours-of-sleep-is-best-think-again/a-61661946?maca=en-rss-en-all-1573-rdf, 2022-05-05T14:21:00Z
 5 things we can learn from Marlene Dietrich," Marlene Dietrich died on May 6, 1992 — 30 years ago. She fled the Nazis and conquered Hollywood. She remains a role model in times of crisis.", https://www.dw.com/en/5-things-we-can-learn-from-marlene-dietrich/a-60195584?maca=en-rss-en-all-1573-rdf, 2022-05-05T13:58:00Z
 Ukraine: How farm vehicles stolen by Russia were remotely disabled," Russian soldiers looted combine harvesters and tractors worth millions of dollars from Ukraine, according to a media report. But the machinery was deactivated remotely before it could be put to use.", https://www.dw.com/en/ukraine-how-farm-vehicles-stolen-by-russia-were-remotely-disabled/a-61691839?maca=en-rss-en-all-1573-rdf, 2022-05-05T13:53:00Z
 Bitcoin boom spikes amid perceived risks, Central African Republic and El Salvador have made Bitcoin legal tender and Panama has approved a bill to regulate crypto assets. Experts warn that nations that adopt crypto currencies risk instability., https://www.dw.com/en/bitcoin-boom-spikes-amid-perceived-risks/a-61686615?maca=en-rss-en-all-1573-rdf, 2022-05-05T10:53:00Z
 Documenta cancels talks amid antisemitism row," The 2022 edition of the world-famous contemporary art show has suddenly axed discussions on the topic of artistic freedom, which had planned to address accusations of antisemitism.", https://www.dw.com/en/documenta-cancels-talks-amid-antisemitism-row/a-61692036?maca=en-rss-en-all-1573-rdf, 2022-05-05T10:52:00Z
 New German open letter: 'Yes' to weapons for Ukraine," Pianist Igor Levit, Nobel laureate Herta Müller and 55 other intellectuals have sent an appeal to Chancellor Olaf Scholz. They say Germany should supply heavy weapons to Ukraine.", https://www.dw.com/en/new-german-open-letter-yes-to-weapons-for-ukraine/a-61692748?maca=en-rss-en-all-1573-rdf, 2022-05-05T10:25:00Z
 Germany plans documentation center on Nazi occupation in Europe," Almost 80 years after the end of the Second World War, the German government has approved a concept for a documentation center in Berlin. Its focus: the effects of the Nazi era in Europe.", https://www.dw.com/en/germany-plans-documentation-center-on-nazi-occupation-in-europe/a-61690542?maca=en-rss-en-all-1573-rdf, 2022-05-05T08:27:00Z
 What are millets and can they help create global food security?, The Russian invasion of Ukraine has pushed food insecurity onto the table. Could an overlooked cereal help steady the situation and feed the global population in an era of climate crisis?, https://www.dw.com/en/what-are-millets-and-can-they-help-create-global-food-security/a-61682721?maca=en-rss-en-all-1573-rdf, 2022-05-05T07:46:00Z
 'Navalny' documentary hits theaters in Germany," Being an outspoken enemy of the Kremlin nearly cost Alexei Navalny his life. In this documentary that feels like a spy thriller, Putin's rival uncovers the facts about his poisoning.", https://www.dw.com/en/navalny-documentary-hits-theaters-in-germany/a-61683768?maca=en-rss-en-all-1573-rdf, 2022-05-05T06:57:00Z
 Ukraine: How drones are changing the way of war, The war in Ukraine shows that unmanned aerial vehicles are part of modern warfare. Drones have various tasks from aerial surveillance to missile defense., https://www.dw.com/en/ukraine-how-drones-are-changing-the-way-of-war/a-61681013?maca=en-rss-en-all-1573-rdf, 2022-05-04T15:55:00Z
 German Overshoot Day: 'We cannot continue like this', Germany has used more resources in the first third of 2022 than are sustainably available to it for an entire year. Here's what needs to change., https://www.dw.com/en/german-overshoot-day-we-cannot-continue-like-this/a-61673016?maca=en-rss-en-all-1573-rdf, 2022-05-04T14:44:00Z
 DW documentary 'Guardians of Truth' premieres in Berlin, Turkish journalist Can Dündar and Mexican investigative journalist Anabel Hernandez both live in exile. They share their stories in a new documentary and at the Berlin premiere., https://www.dw.com/en/dw-documentary-guardians-of-truth-premieres-in-berlin/a-61683697?maca=en-rss-en-all-1573-rdf, 2022-05-04T13:47:00Z
